Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Lonsdale St (South),30,230,151,81,67,74,39,43,78,164,211,215,356,721,652,565,491,548,682,692,633,628,607,483,302
Lygon St (West),31,16,8,14,8,1,13,25,42,96,103,129,173,290,314,235,247,308,283,336,359,365,334,187,71
Southbank,35,148,52,20,28,30,154,633,1267,2733,1539,1171,1485,2469,2466,1950,1957,2411,3651,2814,2067,1961,1538,1143,413
Queen St (West),36,17,14,5,17,9,20,67,117,422,323,301,351,725,638,418,317,355,555,396,236,230,214,108,62
Lygon St (East),37,22,9,10,14,0,11,11,18,87,77,99,124,262,228,214,197,187,166,233,0,0,0,0,67
Alfred Place,39,0,0,0,0,0,0,9,87,175,217,158,186,446,350,146,150,154,200,163,89,27,1,2,0
Lonsdale St-Spring St (West),40,30,11,8,2,9,16,79,195,519,428,389,375,839,721,413,323,405,470,407,263,160,157,255,47
Grattan St-Swanston St (West),42,12,8,2,4,2,13,50,67,236,235,206,167,336,346,258,320,305,343,143,144,82,64,48,25
Monash Rd-Swanston St (West),43,4,2,0,0,1,6,41,66,82,124,143,110,164,162,134,191,243,330,218,177,63,93,24,13
Tin Alley-Swanston St (West),44,0,1,0,0,1,2,19,27,38,44,91,40,101,63,57,68,96,136,92,108,55,34,9,3
Little Collins St-Swanston St (East),45,109,43,22,14,12,42,100,236,529,479,590,891,1506,1487,1167,1212,1181,1484,1173,903,858,733,490,230
Flinders La-Swanston St (West),41,214,91,65,53,59,184,602,967,1971,1665,1671,2165,2982,3024,2784,2773,2995,3568,2737,1860,1522,1391,1270,236
Pelham St (South),46,0,0,1,0,0,0,8,39,88,81,119,85,191,167,104,99,90,128,76,47,56,2,3,0
Melbourne Central-Elizabeth St (East),47,107,68,39,32,26,56,270,358,825,756,796,1531,2390,1959,1455,1511,1554,1757,1163,1009,886,771,465,231
QVM-Queen St (East),48,0,0,0,0,0,0,60,33,184,0,0,0,0,205,673,477,330,357,289,192,179,172,102,0
QVM-Therry St (South),49,132,47,58,47,43,48,65,162,301,310,493,706,830,914,675,538,395,452,410,299,297,248,185,109
Faraday St-Lygon St (West),50,12,6,1,6,4,12,17,37,128,172,175,272,389,381,330,360,341,441,425,375,329,262,110,41
QVM-Franklin St (North),51,28,19,4,9,5,15,43,64,136,119,170,193,217,235,266,186,170,202,173,152,149,116,103,58
Elizabeth St-Lonsdale St (South),52,57,28,16,5,4,18,41,133,534,350,306,348,665,725,568,675,615,686,693,605,498,374,222,135
Collins St (North),53,36,15,5,3,3,22,48,234,620,675,813,1151,1663,1599,1365,1121,1092,1136,724,406,378,281,189,85
Lincoln-Swanston (West),54,11,10,20,11,4,12,17,61,129,112,105,106,185,198,203,269,231,259,186,206,165,156,108,62
Lonsdale St - Elizabeth St (North),56,46,26,22,10,13,12,68,119,295,317,339,465,735,683,565,512,630,792,616,583,554,440,314,98
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,131,55,39,13,17,62,231,797,1793,1184,808,900,1420,1181,920,1064,1627,1908,1014,623,467,427,313,184
RMIT Building 80,59,61,53,21,15,9,18,89,184,387,399,404,434,575,606,561,675,683,760,552,498,330,271,224,136
RMIT Building 14,61,46,22,20,8,20,29,80,286,604,523,777,781,987,874,817,826,1029,1062,937,679,574,424,310,129
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,68,50,36,13,12,18,131,100,143,230,309,332,395,484,435,479,438,456,474,426,392,373,233,145
231 Bourke St,63,53,61,9,4,5,8,46,213,276,339,413,676,1303,1043,768,675,718,927,806,713,498,317,183,67
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,113,63,31,23,36,38,97,299,707,705,738,1225,2126,2243,1971,2116,2415,2602,2218,1707,1660,1183,736,312
Flinders Ln -Degraves St (South),67,27,7,8,6,4,40,176,281,518,756,704,777,1150,1145,926,985,855,1056,723,634,483,314,219,64
Flinders Ln -Degraves St (North),68,1,2,0,0,2,4,33,123,450,485,429,582,1112,892,695,655,470,574,398,356,254,151,68,35
Flinders Ln -Degraves St (Crossing),69,8,1,1,0,1,5,20,122,388,386,420,473,742,875,585,477,372,411,240,106,51,26,10,18
Errol Street (East),70,12,4,2,0,2,5,15,63,148,132,166,281,334,289,247,356,292,319,290,319,238,186,166,16
Westwood Place,71,3,7,1,0,12,4,11,17,15,31,47,45,45,35,20,11,27,48,35,22,6,7,10,7
Flinders St- ACMI,72,21,9,6,8,7,31,137,288,833,361,284,294,464,458,446,556,836,1275,723,419,269,184,152,51
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,1,0,0,0,5,14,49,65,129,81,83,90,148,168,123,94,143,174,116,51,68,24,17,3
Macaulay Rd-Bellair St,76,0,0,0,0,1,6,21,57,118,103,104,88,135,132,87,138,141,165,148,82,86,23,11,4
Harbour Esplanade (West) - Pedestrian Path,77,37,15,3,2,6,29,88,181,267,225,144,185,357,319,241,239,271,387,368,360,372,270,121,42
Harbour Esplanade (West) - Bike Path,78,10,1,1,1,0,2,23,96,204,84,61,71,78,76,73,140,175,281,160,53,41,17,10,7
Flinders St (South),79,90,43,31,12,18,58,194,424,1047,625,654,772,843,938,878,980,1097,1281,929,574,518,556,442,150
Elizabeth St - Flinders St (East) - New footpath,84,82,43,30,38,37,92,432,900,1885,1417,1267,1503,2222,2205,1974,2239,2534,3223,2406,1769,1488,1368,841,266
Macaulay Rd (North),85,6,1,0,0,0,7,42,88,183,179,154,167,185,164,139,169,139,190,139,132,70,31,30,9
Queensberry St - Errol St (South),86,3,0,1,2,2,3,20,36,69,84,85,101,158,130,124,111,101,122,115,118,70,49,34,11
Errol St (West),87,9,3,0,2,8,9,30,55,179,96,160,156,241,238,186,227,202,211,220,196,142,79,38,21
Flagstaff station (East),88,42,11,11,2,6,18,44,113,353,303,193,255,333,490,283,230,273,385,234,219,160,115,111,57
William St - Little Lonsdale St (West),89,51,23,21,14,14,82,269,905,2689,1325,751,565,1064,1136,704,748,1271,2044,760,463,289,238,173,100
La Trobe St - William St (South),90,31,13,12,4,5,26,96,244,533,368,303,308,361,340,244,297,434,478,282,153,121,121,92,73
114 Flinders St,91,33,10,9,8,7,23,73,190,587,336,235,223,445,501,292,269,457,900,396,212,143,164,155,61
Birrarung Marr East - Batman Ave Bridge Entry,92,0,0,0,0,0,0,14,33,51,59,36,54,109,75,52,49,58,54,23,18,26,1,0,0
474 Flinders St,141,43,23,31,12,10,27,58,91,202,254,206,234,354,394,227,193,252,335,234,209,212,187,146,68
Hamer Hall - River Side,142,0,0,0,0,0,0,184,573,663,410,414,602,1109,1222,793,770,699,1027,1227,921,682,19,4,4
Cnr Bourke St and Harbour Esplanade,137,0,0,1,0,0,1,14,58,122,87,61,72,141,124,78,118,181,179,70,32,21,6,3,1
Flinders Walk - Sandridge Bridge,139,4,4,2,1,0,5,22,141,499,176,56,97,123,181,95,135,231,449,220,87,104,31,29,7
Birrarung Marr - Federation Bridge,136,2,3,1,0,0,2,112,256,365,206,146,192,232,514,267,203,334,627,389,209,173,66,81,2
Boyd Park,140,0,0,0,0,0,0,30,104,222,137,115,132,144,115,114,149,185,242,220,145,109,0,0,0
I-Hub 892 Bourke Street,130,0,0,1,2,1,0,10,27,43,47,69,97,124,116,84,99,103,100,104,70,53,28,8,2
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,2,10,23,27,30,22,3,2,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,5,7,10,8,5,11,8,0,2,0,0,0,0,0,0
Batman Park,160,68,39,26,15,33,23,132,184,338,248,234,238,332,320,273,295,357,516,354,306,324,251,237,104
City Baths,161,0,0,0,2,6,4,50,73,70,77,82,79,118,105,97,76,147,228,263,169,98,60,15,4
Birrarung Marr – COM Pole 1109,0,0,0,0,0,0,0,98,197,314,178,157,194,256,512,241,211,264,459,422,250,214,8,10,0
I-Hub Corner of King Street and Latrobe Street,132,53,27,18,6,10,12,44,112,244,191,260,295,457,348,274,267,254,316,309,290,252,174,116,104
I-Hub 489 Elizabeth Street,162,70,45,27,27,20,35,63,232,475,487,679,1124,1404,1456,855,885,608,639,611,541,348,347,203,125
I-Hub 526 La Trobe Street,164,27,9,5,5,7,32,83,176,390,270,232,244,302,232,161,176,263,318,354,267,215,166,90,50
475 Spencer Street,165,5,9,2,1,2,6,14,48,71,43,62,78,108,107,74,74,92,135,117,122,84,38,35,20
484 Spencer Street,166,1,0,3,0,1,2,10,31,78,54,55,81,122,111,79,70,99,151,140,114,34,23,12,8
Total,,3625,1776,1158,880,987,2580,10001,22356,51398,37601,34443,44424,68688,67898,55147,56857,64564,81231,59545,42886,35221,29263,20753,8019
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Thursday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,50,28,20,7,10,13,74,162,463,699,1152,1953,2833,3057,2792,2712,2682,2641,2149,1656,1154,621,284,157
Bourke Street Mall (South),2,46,30,29,15,8,14,43,105,275,441,683,1166,1796,1940,1630,1603,1504,1324,986,730,588,346,190,110
Melbourne Central,3,177,109,52,36,28,25,92,174,315,475,700,1068,1867,1957,1962,2012,1949,2246,2040,1583,1407,1278,913,517
Town Hall (West),4,215,85,35,29,31,60,161,328,771,1114,1686,2684,3622,3684,3601,3529,3567,3608,3000,2107,1782,1570,1174,588
Princes Bridge,5,141,61,26,37,29,72,247,453,989,1085,1614,2262,2721,2734,2737,2823,2828,3338,2886,1736,1464,1767,1065,770
Flinders Street Station Underpass,6,205,64,27,26,50,105,418,933,2505,1402,1113,1386,1881,1982,1834,2097,2561,3495,2203,1587,1380,1258,952,552
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,4,0,0,1,1,12,108,238,445,314,324,377,664,565,437,406,529,570,362,212,165,70,35,10
Southern Cross Station,9,22,7,5,5,7,30,214,773,2239,1378,514,463,1030,719,515,780,1786,2060,648,222,130,104,88,49
Victoria Point,10,7,3,1,1,0,9,31,89,160,151,97,126,276,217,141,162,216,236,158,111,69,61,60,33
Waterfront City,11,19,4,2,2,1,9,33,70,93,78,88,96,137,136,104,107,107,112,118,177,203,138,72,43
New Quay,12,44,12,9,3,3,22,79,162,236,251,250,313,393,440,336,335,368,444,550,533,549,440,338,118
Sandridge Bridge,14,67,32,12,11,29,54,176,286,689,425,391,457,559,600,533,624,830,1095,701,400,426,561,550,309
Collins Place (South),17,34,17,6,6,20,49,131,348,1054,720,524,569,1151,1056,636,520,601,820,465,255,203,195,139,73
Collins Place (North),18,8,3,3,1,2,8,68,258,858,569,383,345,430,435,359,348,517,739,307,135,85,33,37,17
Chinatown-Swanston St (North),19,104,53,28,10,13,7,15,24,67,132,233,410,763,808,742,771,695,795,890,844,787,665,500,273
Chinatown-Lt Bourke St (South),20,46,31,20,14,12,10,18,50,108,132,227,380,716,664,512,560,428,609,765,761,634,537,453,254
Bourke St-Russell St (West),21,102,50,32,14,10,11,25,65,149,163,277,446,898,861,656,625,644,780,736,772,610,501,394,245
Flinders St-Elizabeth St (East),22,188,82,43,32,30,84,366,723,1618,1471,1554,1840,2291,2495,2437,2541,2861,3293,2579,1909,1666,1488,1030,448
Spencer St-Collins St (South),23,42,19,12,9,11,37,114,337,804,518,362,485,954,771,462,499,671,948,485,317,231,225,196,95
Spencer St-Collins St (North),24,141,46,31,23,25,132,373,848,1939,1286,1088,1166,1500,1389,1301,1510,2048,2443,1402,819,617,639,597,347
Melbourne Convention Exhibition Centre,25,59,18,8,6,9,25,129,222,390,413,621,1041,1306,1484,1488,1498,1391,1584,1381,702,672,623,792,201
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,32,17,9,8,3,10,27,89,149,171,232,293,364,346,282,221,179,230,185,147,134,116,100,58
The Arts Centre,28,43,20,13,27,26,59,251,328,752,828,1401,1991,2313,2253,2288,2269,2005,2066,1829,721,482,1098,366,405
St Kilda Rd-Alexandra Gardens,29,53,21,14,8,8,25,132,228,306,310,508,698,853,965,963,965,1009,1181,1037,694,508,380,264,464
Lonsdale St (South),30,191,130,82,78,44,49,30,65,152,202,279,450,765,764,617,626,628,681,768,711,665,618,446,348
Lygon St (West),31,28,7,8,8,4,14,21,48,93,113,141,197,308,371,342,320,316,317,354,464,478,460,285,149
Southbank,35,317,78,27,25,25,101,485,957,2060,1558,1623,1991,2842,2943,2604,2726,3152,3904,3531,2676,2379,2134,1482,817
Queen St (West),36,29,13,3,6,4,12,52,110,307,281,286,345,593,491,376,316,321,482,335,226,208,191,148,87
Lygon St (East),37,40,9,5,4,7,6,10,25,73,90,106,148,296,274,214,195,206,254,211,20,0,0,0,53
Alfred Place,39,2,0,0,0,0,0,9,52,129,145,125,120,261,240,145,117,127,146,104,70,27,3,2,2
Lonsdale St-Spring St (West),40,21,7,5,2,4,13,55,147,372,348,293,367,597,528,336,307,333,468,339,276,182,143,238,55
Grattan St-Swanston St (West),42,12,4,5,2,2,6,33,64,170,147,152,191,272,286,198,200,238,233,135,102,74,73,53,32
Monash Rd-Swanston St (West),43,4,0,0,1,0,6,26,48,121,132,90,131,182,174,130,168,217,235,174,128,92,42,31,14
Tin Alley-Swanston St (West),44,2,0,0,0,0,2,15,28,71,68,53,70,90,92,67,75,100,103,90,68,72,17,7,6
Little Collins St-Swanston St (East),45,105,48,31,23,24,34,73,201,441,496,688,990,1594,1645,1470,1517,1533,1745,1478,1048,945,878,524,310
Flinders La-Swanston St (West),41,310,128,66,54,94,148,424,741,1675,1782,2108,2685,3318,3365,3274,3415,3603,3947,2961,1995,1678,1732,1322,848
Pelham St (South),46,0,0,0,0,0,1,11,22,63,75,90,76,154,135,95,83,100,98,64,62,48,8,2,1
Melbourne Central-Elizabeth St (East),47,137,94,45,36,41,64,178,299,698,730,893,1319,1782,1920,1780,1883,1893,2043,1542,1256,1051,852,523,324
QVM-Queen St (East),48,0,0,0,0,0,0,56,121,242,289,403,540,758,741,623,524,316,293,248,217,186,150,123,10
QVM-Therry St (South),49,95,63,61,45,35,35,75,118,242,307,483,739,973,1015,862,674,401,388,374,307,264,244,162,121
Faraday St-Lygon St (West),50,14,2,3,7,6,10,14,38,110,192,244,364,528,479,458,438,362,392,426,385,397,337,139,47
QVM-Franklin St (North),51,29,24,12,8,8,15,39,52,92,138,171,232,259,272,231,213,177,163,155,138,125,103,84,53
Elizabeth St-Lonsdale St (South),52,58,32,13,9,6,13,31,93,272,282,322,400,703,754,652,648,647,681,646,604,536,385,231,155
Collins St (North),53,35,14,5,6,5,14,53,179,513,674,952,1310,1720,1769,1515,1336,1280,1241,728,441,350,306,188,94
Lincoln-Swanston (West),54,26,10,4,4,3,6,17,36,96,63,84,97,131,158,131,149,171,188,127,113,111,87,60,32
Lonsdale St - Elizabeth St (North),56,81,36,23,15,7,18,39,107,234,283,368,463,676,741,682,619,658,738,706,604,599,498,328,152
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,135,72,45,15,20,65,234,639,1481,1010,891,981,1265,1124,928,1047,1480,1743,995,625,456,478,465,257
RMIT Building 80,59,72,46,20,11,17,22,69,153,270,296,386,413,587,607,613,663,721,798,676,581,467,360,286,189
RMIT Building 14,61,69,49,22,14,14,26,72,188,409,430,508,547,758,745,724,687,723,857,742,620,473,358,239,130
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,81,37,20,13,8,24,79,68,137,181,248,292,323,368,364,357,379,404,359,346,319,255,216,100
231 Bourke St,63,22,13,14,5,4,3,41,108,240,326,437,655,1128,1122,854,809,854,931,805,760,523,336,159,82
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,118,68,31,18,22,30,75,221,543,592,876,1264,2052,2239,2218,2493,2422,2622,2195,1781,1556,1245,704,345
Flinders Ln -Degraves St (South),67,36,12,10,7,4,18,110,230,509,712,805,920,1286,1247,1055,1072,1000,1011,805,670,582,454,284,104
Flinders Ln -Degraves St (North),68,4,3,2,0,0,4,58,135,333,481,580,618,1027,936,740,726,646,585,525,439,332,202,69,49
Flinders Ln -Degraves St (Crossing),69,2,3,3,3,4,8,36,92,281,351,506,604,740,734,634,563,518,450,216,117,61,50,18,4
Errol Street (East),70,5,2,1,1,1,3,13,67,123,142,170,242,306,329,250,253,239,284,304,289,235,165,125,24
Westwood Place,71,9,4,1,1,3,6,7,20,26,41,38,53,51,40,15,20,22,37,46,20,7,4,7,4
Flinders St- ACMI,72,56,12,3,4,6,16,82,196,624,332,366,455,659,734,729,776,1094,1412,869,423,317,285,226,188
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,4,1,2,1,0,11,40,57,105,77,110,98,131,153,119,109,169,185,168,79,56,26,27,18
Macaulay Rd-Bellair St,76,0,2,0,0,0,4,15,54,80,93,85,108,126,114,87,95,110,114,106,76,49,28,10,5
Harbour Esplanade (West) - Pedestrian Path,77,43,13,3,2,4,20,78,176,249,223,199,255,297,309,233,229,305,380,416,345,367,272,273,85
Harbour Esplanade (West) - Bike Path,78,9,4,3,1,2,3,25,61,111,80,86,86,101,93,99,100,146,227,143,81,63,21,40,12
Flinders St (South),79,168,43,23,30,24,53,167,319,805,729,912,1057,1165,1204,1149,1202,1467,1721,1197,764,623,726,526,361
Elizabeth St - Flinders St (East) - New footpath,84,188,82,43,32,30,84,366,723,1618,1471,1554,1840,2291,2495,2437,2541,2861,3293,2579,1909,1666,1488,1030,448
Macaulay Rd (North),85,3,0,0,0,1,4,30,70,118,139,143,151,205,174,127,123,127,174,148,123,71,37,18,11
Queensberry St - Errol St (South),86,3,2,0,1,1,2,18,41,79,65,84,89,138,121,112,82,100,110,110,104,87,53,28,11
Errol St (West),87,5,3,1,1,5,7,19,44,85,111,145,185,269,251,193,162,174,186,194,189,149,75,42,20
Flagstaff station (East),88,39,14,5,4,6,18,35,79,211,193,173,247,322,329,268,214,223,283,222,215,167,140,117,68
William St - Little Lonsdale St (West),89,55,22,18,13,19,55,183,527,1649,803,541,475,723,821,539,526,891,1276,514,340,233,216,172,107
La Trobe St - William St (South),90,38,18,10,7,7,23,69,173,446,302,202,200,279,310,249,246,342,418,227,176,139,143,138,80
114 Flinders St,91,59,19,10,6,5,17,55,153,470,367,375,378,478,496,419,464,662,899,653,384,298,356,323,221
Birrarung Marr East - Batman Ave Bridge Entry,92,1,0,0,0,0,2,32,61,62,62,89,109,141,134,112,104,167,321,206,94,76,11,7,2
474 Flinders St,141,106,22,10,12,12,18,51,85,183,235,276,294,402,362,303,314,314,382,300,224,154,182,184,140
Hamer Hall - River Side,142,2,0,0,0,0,5,210,447,589,507,771,986,1488,1458,1232,1105,1182,1340,1550,1029,792,122,21,10
Cnr Bourke St and Harbour Esplanade,137,2,1,0,0,0,2,14,46,88,78,42,75,143,95,61,108,155,139,70,42,23,6,7,2
Flinders Walk - Sandridge Bridge,139,9,3,2,5,2,5,34,131,358,154,107,105,149,201,138,143,227,317,191,93,101,53,46,28
Birrarung Marr - Federation Bridge,136,12,4,1,0,0,11,130,247,389,277,304,337,296,316,287,380,617,642,634,254,220,181,145,74
Boyd Park,140,0,0,0,0,0,0,40,92,142,102,106,123,139,130,106,133,181,219,203,153,109,0,0,0
I-Hub 892 Bourke Street,130,0,0,0,0,0,1,7,19,32,63,68,77,133,106,87,83,79,87,103,78,54,19,6,6
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,2,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,15,21,34,37,22,11,3,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,2,1,4,2,2,0,1,0,2,1,0,0,0,0
Batman Park,160,89,55,28,22,26,35,107,163,253,261,344,351,407,421,389,394,447,539,503,388,334,331,368,218
City Baths,161,0,2,0,0,0,0,45,71,98,93,105,97,110,104,104,109,123,174,182,143,70,47,12,0
Birrarung Marr – COM Pole 1109,0,34,0,0,0,0,8,119,281,420,648,1252,1050,708,782,771,974,1890,2399,1892,882,714,321,178,75
I-Hub Corner of King Street and Latrobe Street,132,60,43,17,5,8,18,40,82,189,177,243,257,319,300,268,247,242,278,279,257,218,203,176,107
I-Hub 489 Elizabeth Street,162,85,51,29,20,19,28,95,215,433,517,733,1052,1500,1341,1136,955,654,608,607,523,376,305,218,132
I-Hub 526 La Trobe Street,164,26,9,5,7,5,23,81,157,266,235,257,244,285,296,230,272,311,418,342,309,236,163,204,80
475 Spencer Street,165,12,3,5,2,1,6,16,43,67,47,80,68,94,80,79,83,110,128,138,118,70,58,114,31
484 Spencer Street,166,3,2,1,0,1,3,13,40,76,75,77,88,114,97,86,94,106,149,141,154,48,16,16,10
Total,,5049,2250,1223,927,966,2140,8081,17618,40247,35999,41252,52767,73261,74042,66106,67132,73253,83958,65949,47276,39326,33777,24214,13684
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Thursday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,56,33,22,13,9,18,89,203,494,705,1026,1596,2500,2688,2336,2297,2351,2543,1986,1459,1088,639,311,156
Bourke Street Mall (South),2,44,23,21,11,8,14,56,120,336,429,643,999,1643,1726,1383,1294,1272,1286,920,661,507,315,191,102
Melbourne Central,3,239,145,82,57,45,56,137,242,536,630,855,1295,2137,2178,2101,2150,2260,2526,2382,1976,1809,1591,1106,651
Town Hall (West),4,133,61,30,22,23,46,162,333,779,987,1361,1928,2785,2910,2644,2588,2593,2650,2179,1572,1332,1130,799,396
Princes Bridge,5,117,47,25,27,26,78,277,619,1234,1033,1117,1431,1770,1856,1781,1850,2065,2623,2091,1493,1124,1405,951,407
Flinders Street Station Underpass,6,176,60,32,23,43,152,513,1189,3102,1637,995,1168,1622,1670,1568,1769,2442,3651,2318,1516,1302,1221,946,550
Birrarung Marr,7,7,5,3,2,5,14,49,119,184,93,71,70,121,138,112,98,155,267,377,183,61,62,324,82
Webb Bridge,8,7,3,1,1,2,17,85,242,426,323,277,324,608,547,381,391,495,595,315,167,115,72,48,29
