Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Birrarung Marr East - Batman Ave Bridge Entry,92,0,0,0,0,0,0,29,47,80,39,41,72,126,157,57,62,64,48,38,30,15,0,0,2
474 Flinders St,141,46,17,26,5,13,20,56,87,229,205,249,236,380,364,273,247,281,298,219,176,182,116,100,53
Hamer Hall - River Side,142,2,0,0,0,0,3,154,472,584,388,504,740,1315,1270,879,837,710,1059,1079,944,518,52,5,5
Cnr Bourke St and Harbour Esplanade,137,0,0,0,0,0,2,25,79,177,87,59,71,161,128,78,194,231,182,63,45,24,10,4,3
Flinders Walk - Sandridge Bridge,139,4,0,0,1,0,7,23,151,550,141,83,92,138,145,100,110,210,433,211,100,83,34,17,17
Birrarung Marr - Federation Bridge,136,2,0,1,1,1,7,134,276,408,248,161,135,222,210,153,209,287,529,284,133,73,11,5,4
Boyd Park,140,0,0,0,0,0,0,32,108,170,109,139,111,134,142,118,176,193,238,214,191,92,0,0,0
I-Hub 892 Bourke Street,130,1,0,0,0,0,0,9,25,61,63,90,87,163,143,111,83,61,95,75,63,55,14,2,1
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,2,4,6,16,7,7,2,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0
Batman Park,160,55,39,20,26,22,33,133,200,307,202,186,238,349,371,327,285,384,519,404,308,328,228,264,120
City Baths,161,0,0,0,0,0,4,52,81,91,100,112,124,134,84,77,78,156,213,250,168,78,64,6,4
Birrarung Marr – COM Pole 1109,0,0,0,0,0,0,0,115,261,348,176,118,118,230,319,158,194,239,432,303,165,103,5,0,0
I-Hub Corner of King Street and Latrobe Street,132,60,26,13,10,5,25,34,96,173,207,231,275,315,342,285,262,276,373,316,234,234,154,123,96
I-Hub 489 Elizabeth Street,162,86,26,26,10,16,30,63,217,462,564,779,1001,1498,1310,1076,874,688,632,497,438,268,233,179,100
I-Hub 526 La Trobe Street,164,33,6,3,3,9,14,73,189,344,204,219,241,312,214,168,172,266,344,346,257,251,171,126,89
475 Spencer Street,165,9,0,6,2,4,0,18,33,90,60,42,65,101,85,86,89,83,136,110,53,65,38,27,10
484 Spencer Street,166,5,0,3,4,3,1,8,31,86,58,63,78,116,111,75,96,104,160,162,140,65,14,5,7
Total,,3113,1629,932,660,781,2181,8058,22466,51614,35201,34645,44000,68721,68433,55905,55803,64669,80344,54871,38241,30913,24827,18477,7492
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Tuesday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,46,32,18,13,8,11,71,163,379,642,1060,1833,2801,2885,2660,2530,2537,2558,1992,1387,969,518,455,182
Bourke Street Mall (South),2,43,32,20,12,5,23,41,115,296,445,741,1095,1681,1750,1502,1409,1260,1167,862,605,510,318,313,158
Melbourne Central,3,185,118,59,30,21,36,96,174,357,511,710,1008,1687,1861,1767,1895,2060,2200,2172,2245,1912,1722,1656,872
Town Hall (West),4,195,99,36,19,21,57,175,351,758,1091,1617,2480,3303,3541,3327,3309,3302,3416,2870,2437,2151,1982,1885,1349
Princes Bridge,5,146,48,26,30,28,75,247,492,976,1068,1561,2151,2494,2755,2370,2505,2708,2986,2554,1975,1194,1024,801,637
Flinders Street Station Underpass,6,200,70,31,25,56,125,400,985,2611,1435,1167,1358,1825,1913,1887,2010,2630,3571,2283,1520,1029,908,664,435
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,3,1,1,0,0,10,109,278,439,335,346,369,642,552,383,418,526,622,380,309,390,249,155,124
Southern Cross Station,9,19,12,6,4,5,33,226,856,2186,1437,513,470,1064,704,493,794,2013,2134,701,441,554,860,814,792
Victoria Point,10,7,4,1,0,1,7,27,115,192,145,117,136,296,190,128,220,238,238,214,289,394,785,573,475
Waterfront City,11,12,7,2,1,1,7,39,71,89,77,96,89,147,129,109,121,126,182,268,445,665,605,682,538
New Quay,12,31,20,7,3,4,19,81,163,253,219,241,269,397,357,320,383,458,634,793,1220,1727,1626,1726,1726
Sandridge Bridge,14,73,22,10,8,22,61,171,302,669,439,418,422,541,509,508,556,757,1084,633,310,318,277,243,162
Collins Place (South),17,33,13,9,9,18,49,112,350,1062,692,520,538,1138,1007,569,489,507,744,436,280,335,493,347,329
Collins Place (North),18,2,4,0,0,1,7,81,267,890,549,343,304,401,442,317,361,469,781,330,175,160,121,74,60
Chinatown-Swanston St (North),19,155,81,36,24,8,11,25,39,82,171,272,507,982,1086,998,894,771,852,901,939,808,677,567,402
Chinatown-Lt Bourke St (South),20,41,24,16,12,9,9,19,38,101,144,195,296,486,486,381,319,277,441,534,588,586,484,371,186
Bourke St-Russell St (West),21,78,52,23,23,8,9,26,63,134,162,238,412,778,759,667,640,643,760,698,805,737,528,445,308
Flinders St-Elizabeth St (East),22,168,88,44,27,36,74,353,765,1664,1486,1684,1841,2396,2561,2421,2466,2766,3252,2644,2278,2194,2076,2278,1944
Spencer St-Collins St (South),23,47,25,11,18,8,32,119,326,733,483,397,506,881,692,467,487,733,917,524,388,353,328,332,226
Spencer St-Collins St (North),24,147,56,34,27,27,122,355,939,1781,1202,1064,1122,1439,1319,1292,1534,2092,2436,1433,964,858,819,789,510
Melbourne Convention Exhibition Centre,25,77,34,14,5,9,33,179,381,581,546,730,931,1226,1258,1355,1303,1367,1456,1279,1008,1278,1392,1659,1510
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,25,14,7,10,5,10,32,76,151,186,244,315,363,339,264,202,167,192,201,154,147,152,101,69
The Arts Centre,28,33,21,15,25,33,50,221,356,733,800,1285,1776,2104,2202,1922,2012,1943,1889,1165,1299,1400,1256,1375,702
St Kilda Rd-Alexandra Gardens,29,60,23,12,7,5,35,108,219,312,320,482,663,766,863,699,768,835,1152,1237,801,491,276,229,451
Lonsdale St (South),30,126,77,29,33,12,22,39,72,170,190,288,425,706,680,582,555,559,639,704,695,638,575,478,339
Lygon St (West),31,24,8,7,5,9,12,20,43,86,111,147,182,270,294,280,312,255,317,323,437,509,461,305,116
Southbank,35,326,100,39,21,29,109,470,1043,2127,1663,1704,1946,2775,3001,2656,2692,3266,4026,3521,3521,3614,2789,2183,1850
Queen St (West),36,27,13,6,4,5,13,46,116,307,288,283,316,591,400,325,308,324,454,309,259,249,235,212,163
Lygon St (East),37,51,16,11,5,6,8,14,28,87,98,125,184,251,251,149,131,156,179,182,101,42,0,0,58
Alfred Place,39,0,0,0,0,0,0,13,35,85,120,97,141,284,195,126,128,129,156,116,82,37,4,5,3
Lonsdale St-Spring St (West),40,14,9,5,2,4,13,48,139,378,316,303,336,582,486,339,286,323,411,339,221,206,290,227,98
Grattan St-Swanston St (West),42,9,7,4,4,4,5,32,58,169,155,133,165,244,264,199,206,231,217,133,92,74,57,52,35
Monash Rd-Swanston St (West),43,4,1,0,0,1,4,23,48,126,139,87,112,146,151,127,154,191,246,156,112,83,44,33,23
Tin Alley-Swanston St (West),44,2,0,0,0,0,2,12,33,64,78,55,63,75,85,66,69,70,101,71,67,47,20,10,11
Little Collins St-Swanston St (East),45,100,46,24,19,20,33,68,200,459,512,658,917,1391,1487,1318,1266,1376,1596,1384,1423,1353,1195,1043,1052
Flinders La-Swanston St (West),41,305,126,77,60,50,159,434,791,1671,1779,2047,2557,3040,3165,3088,3086,3376,3686,2869,2259,1401,1435,1697,960
Pelham St (South),46,0,0,0,0,0,0,11,17,66,78,88,64,135,106,80,87,88,103,73,52,53,17,3,1
Melbourne Central-Elizabeth St (East),47,134,94,43,33,32,57,198,321,686,757,966,1261,1744,1807,1729,1684,1831,2261,1876,1534,1207,1012,1009,779
QVM-Queen St (East),48,0,0,0,0,0,0,61,120,254,333,478,607,697,710,614,497,299,252,241,185,192,175,149,0
QVM-Therry St (South),49,87,78,60,37,29,45,79,124,238,348,567,755,971,930,797,614,448,417,392,341,326,344,251,211
Faraday St-Lygon St (West),50,16,6,1,3,5,15,25,52,94,194,246,335,424,456,422,362,342,321,369,337,311,241,115,58
QVM-Franklin St (North),51,26,19,9,9,6,16,38,52,94,130,171,243,270,242,238,210,162,181,157,155,153,190,99,128
Elizabeth St-Lonsdale St (South),52,49,28,16,13,7,12,40,91,283,294,312,417,627,720,615,581,551,697,618,589,528,409,320,192
Collins St (North),53,35,19,9,7,4,10,46,196,541,694,877,1240,1676,1650,1487,1239,1152,1169,755,478,478,368,435,282
Lincoln-Swanston (West),54,30,15,8,6,4,7,18,31,106,105,95,121,146,177,174,204,189,237,173,156,151,110,93,42
Lonsdale St - Elizabeth St (North),56,68,36,22,11,9,17,47,101,213,296,375,457,656,714,634,642,617,736,757,714,631,557,391,195
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,130,58,48,13,19,78,212,641,1474,982,818,873,1202,1032,909,1029,1422,1667,963,675,629,610,610,382
RMIT Building 80,59,81,50,27,15,16,22,66,142,312,385,425,480,628,650,682,688,738,861,752,697,560,390,335,206
RMIT Building 14,61,68,40,12,17,11,20,68,184,406,409,465,554,662,630,606,632,669,782,701,597,483,351,282,165
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,59,36,25,9,8,18,60,58,115,157,217,248,354,340,396,368,364,410,406,434,390,290,255,145
231 Bourke St,63,23,11,11,4,1,11,46,133,273,351,449,623,1038,1004,809,752,748,824,731,715,615,191,148,77
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,131,67,25,25,19,29,92,234,546,622,855,1277,1822,2086,1966,2113,2375,2726,2292,2102,1929,1555,1182,832
Flinders Ln -Degraves St (South),67,27,17,7,8,4,14,116,238,494,677,777,799,1090,960,900,855,871,899,728,649,607,470,458,91
Flinders Ln -Degraves St (North),68,4,1,1,1,1,3,45,151,355,481,406,444,714,646,692,655,554,583,480,408,379,193,102,29
Flinders Ln -Degraves St (Crossing),69,5,1,1,2,4,7,30,114,284,408,470,542,655,662,619,524,428,379,212,156,140,101,58,13
Errol Street (East),70,3,4,0,1,2,2,19,67,119,159,216,247,311,296,252,240,258,286,294,308,247,209,176,28
Westwood Place,71,7,5,5,2,2,3,8,17,26,30,32,32,35,24,15,14,19,29,33,27,14,10,7,7
Flinders St- ACMI,72,38,12,4,4,5,22,89,209,604,351,310,413,551,512,536,559,732,1003,631,474,296,380,404,250
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,4,0,1,0,0,10,39,58,105,93,107,95,128,134,96,107,125,187,167,112,110,105,57,68
Macaulay Rd-Bellair St,76,0,0,0,0,0,3,19,49,75,95,93,94,132,107,74,79,96,122,103,80,59,41,21,24
Harbour Esplanade (West) - Pedestrian Path,77,30,18,2,3,3,17,76,192,256,199,201,203,297,261,213,257,431,555,693,1002,1189,872,824,534
Harbour Esplanade (West) - Bike Path,78,8,6,2,1,1,2,26,73,122,86,95,81,110,101,94,116,219,323,252,351,543,475,599,537
Flinders St (South),79,148,57,23,19,16,49,159,336,830,706,931,996,1043,1124,1050,1139,1236,1530,1194,1042,554,469,379,353
Elizabeth St - Flinders St (East) - New footpath,84,168,88,44,27,36,74,353,765,1664,1486,1684,1841,2396,2561,2421,2466,2766,3252,2644,2278,2194,2076,2278,1944
Macaulay Rd (North),85,5,1,0,0,2,6,29,75,111,131,141,153,185,163,129,124,144,167,144,92,65,39,28,17
Queensberry St - Errol St (South),86,2,3,2,0,2,2,18,36,54,71,76,92,119,106,83,83,85,107,113,101,88,63,34,10
Errol St (West),87,5,5,3,0,4,7,20,53,90,106,165,184,290,248,191,161,157,180,202,190,145,97,49,35
Flagstaff station (East),88,25,19,6,4,3,22,37,102,223,198,183,214,318,375,228,185,218,291,260,231,271,447,227,207
William St - Little Lonsdale St (West),89,50,30,12,12,14,63,187,537,1681,829,484,484,765,848,533,540,944,1394,579,445,470,567,423,361
La Trobe St - William St (South),90,37,24,7,8,8,25,75,185,422,292,194,198,279,298,231,262,365,437,255,212,235,423,335,281
114 Flinders St,91,65,25,14,4,3,12,53,162,476,370,344,342,460,440,365,410,582,823,619,482,489,524,583,350
Birrarung Marr East - Batman Ave Bridge Entry,92,1,0,0,0,0,1,22,72,64,85,87,106,179,155,144,111,134,192,181,253,287,97,26,28
474 Flinders St,141,130,65,12,12,8,16,35,73,189,228,270,291,381,385,307,294,245,282,237,174,155,185,134,158
Hamer Hall - River Side,142,1,1,0,1,0,5,213,471,564,539,719,882,1304,1326,988,952,985,1196,1376,1708,1413,228,40,30
Cnr Bourke St and Harbour Esplanade,137,1,1,0,0,0,0,13,62,101,72,52,76,153,116,78,156,195,174,93,109,96,66,70,57
Flinders Walk - Sandridge Bridge,139,10,3,1,1,2,3,31,116,358,167,98,121,171,193,138,137,211,342,222,216,103,56,38,31
Birrarung Marr - Federation Bridge,136,14,2,1,0,1,11,102,220,382,285,237,333,267,241,244,267,377,481,398,263,240,111,68,95
Boyd Park,140,0,0,0,0,0,1,36,100,150,125,126,148,162,139,124,144,194,231,215,179,173,1,0,0
I-Hub 892 Bourke Street,130,0,0,0,0,0,1,10,24,32,59,85,82,148,142,85,90,101,112,121,111,118,49,25,27
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,0,5,1,0
Batman Park,160,77,65,35,25,30,31,110,187,282,270,336,358,401,420,362,395,409,540,516,541,584,591,584,524
City Baths,161,1,1,0,1,0,0,45,80,111,105,101,93,109,106,112,114,168,173,184,113,62,38,7,2
Birrarung Marr – COM Pole 1109,0,26,0,0,0,0,6,118,264,460,796,1497,1145,672,682,662,788,1305,1858,1903,1317,1237,816,798,794
I-Hub Corner of King Street and Latrobe Street,132,54,36,14,8,7,17,44,90,184,199,228,233,283,307,286,234,259,309,299,352,359,573,372,420
I-Hub 489 Elizabeth Street,162,74,59,34,20,16,34,96,218,437,552,751,1078,1431,1374,1152,965,652,680,587,541,412,316,275,152
I-Hub 526 La Trobe Street,164,37,17,6,6,9,16,70,161,267,201,226,218,227,189,175,192,259,387,380,351,427,445,448,351
475 Spencer Street,165,5,6,2,1,1,5,13,45,67,44,50,62,82,62,63,69,106,113,90,84,82,63,40,36
484 Spencer Street,166,7,1,1,0,1,2,12,29,66,68,81,88,105,110,87,81,94,122,133,126,55,42,26,32
Total,,4820,2433,1196,858,834,2134,8007,18618,40564,36732,41225,50558,69199,69687,61954,62289,69365,81078,65005,56970,51947,44634,40450,30426
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Tuesday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,38,26,16,9,7,15,87,192,471,637,943,1471,2358,2515,2131,2073,2064,2221,1649,1020,672,421,244,125
Bourke Street Mall (South),2,32,19,16,10,7,15,54,129,342,394,600,888,1565,1656,1242,1160,1115,1096,742,424,344,242,147,74
Melbourne Central,3,195,128,67,41,37,57,132,236,541,650,852,1258,2086,2143,1988,2052,2147,2383,2253,1919,1632,1295,869,510
Town Hall (West),4,83,44,22,17,18,46,163,326,732,924,1259,1804,2704,2809,2505,2399,2390,2456,1919,1414,1159,959,665,376
Princes Bridge,5,78,34,22,25,26,76,279,642,1302,1016,1079,1293,1667,1769,1684,1731,2002,2532,1800,1256,1056,917,707,380
Flinders Street Station Underpass,6,122,43,25,20,40,157,532,1269,3273,1603,923,1062,1561,1622,1506,1719,2477,3788,2135,1345,1116,1017,738,423
Birrarung Marr,7,5,3,4,2,6,15,64,147,214,96,69,61,98,97,73,78,121,225,171,117,47,30,121,30
Webb Bridge,8,6,4,1,1,2,17,86,274,448,327,266,308,657,552,360,388,486,617,320,163,122,74,46,31
Southern Cross Station,9,13,7,5,3,7,59,348,1273,3256,1958,696,581,1251,926,731,1101,2399,2935,1007,304,186,163,139,122
Victoria Point,10,4,2,1,1,1,6,36,148,256,192,116,136,282,206,139,194,287,265,137,94,80,95,72,65
Waterfront City,11,5,2,1,0,0,5,23,51,57,50,54,56,111,96,65,62,79,108,115,118,129,93,80,54
New Quay,12,23,11,7,3,4,17,69,150,229,195,169,192,316,305,231,244,315,448,473,443,423,337,256,227
Sandridge Bridge,14,46,21,10,7,20,74,195,364,751,414,310,345,458,463,443,522,767,1173,643,376,336,390,316,202
Collins Place (South),17,20,11,8,8,15,64,173,522,1464,934,628,635,1354,1286,741,639,649,1003,476,238,203,176,142,76
Collins Place (North),18,1,1,0,0,0,6,59,367,1302,742,432,368,508,504,411,432,614,764,229,70,32,22,14,8
Chinatown-Swanston St (North),19,105,66,32,18,9,11,28,50,115,174,299,501,901,945,867,821,809,965,1086,1053,911,711,442,271
Chinatown-Lt Bourke St (South),20,41,25,14,9,11,13,23,52,119,124,182,301,538,503,371,356,351,512,652,659,553,439,273,104
Bourke St-Russell St (West),21,65,35,17,14,7,12,37,88,173,177,243,396,791,770,562,525,557,690,653,621,518,375,256,149
Flinders St-Elizabeth St (East),22,115,64,35,31,29,96,402,908,1966,1465,1284,1501,2155,2250,2074,2208,2599,3296,2393,1741,1445,1276,925,508
Spencer St-Collins St (South),23,31,16,8,11,7,44,189,538,1292,730,456,495,987,816,518,533,833,1177,603,351,271,209,143,87
Spencer St-Collins St (North),24,105,42,29,25,29,159,513,1232,2433,1520,1040,1069,1451,1435,1319,1657,2508,3014,1657,938,723,690,523,326
Melbourne Convention Exhibition Centre,25,36,20,11,6,10,40,192,446,746,544,554,676,961,1029,1029,1092,1222,1421,1079,581,534,490,384,249
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,18,8,5,7,3,12,33,75,144,150,183,237,273,269,217,195,161,203,188,131,111,90,61,35
The Arts Centre,28,23,13,10,18,25,52,223,471,955,758,816,986,1229,1225,1164,1206,1317,1520,960,611,475,480,385,163
St Kilda Rd-Alexandra Gardens,29,23,15,10,5,6,38,111,211,304,250,295,365,485,516,489,516,516,694,624,478,332,257,256,186
Lonsdale St (South),30,94,61,28,23,14,23,40,94,191,216,282,410,757,728,563,538,575,708,724,646,569,481,357,243
Lygon St (West),31,17,11,6,7,10,14,20,63,127,146,195,211,310,327,274,255,248,279,305,324,325,255,140,51
Southbank,35,137,63,33,18,26,131,609,1253,2667,1548,1158,1367,2323,2345,1870,1909,2387,3509,2623,1994,1731,1397,988,570
Queen St (West),36,17,9,5,4,6,19,59,154,407,332,301,352,694,614,427,348,388,532,386,233,205,192,100,59
