Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Spencer St-Collins St (South),23,58,50,8,20,19,22,28,31,79,148,238,246,341,290,263,275,226,220,245,184,172,159,121,98
Spencer St-Collins St (North),24,286,201,96,127,68,107,106,210,438,664,869,995,915,1038,924,922,767,812,889,711,501,534,628,466
Melbourne Convention Exhibition Centre,25,231,99,46,21,15,23,83,194,310,582,1070,1355,1392,1727,1668,1661,1510,1504,1423,962,891,863,621,514
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,58,61,11,11,11,17,20,40,124,290,369,378,505,456,434,382,253,223,171,153,138,112,64,96
The Arts Centre,28,124,65,40,43,34,35,81,107,253,614,1218,2624,3992,3787,3340,2972,2101,2052,1052,1151,913,1087,489,713
St Kilda Rd-Alexandra Gardens,29,129,55,41,20,34,57,98,179,390,648,791,1758,2381,2275,2419,1921,1494,1183,971,947,759,582,614,1120
Lonsdale St (South),30,678,499,382,354,227,148,100,75,108,194,361,541,673,661,660,612,627,655,661,693,533,577,477,583
Lygon St (West),31,207,57,21,13,0,17,7,14,59,121,169,234,297,393,415,386,409,426,505,664,698,621,441,296
Southbank,35,1110,466,211,107,48,61,157,418,748,1294,2194,2682,2697,3229,3446,3427,3468,3525,3390,3401,2909,2616,2286,2359
Queen St (West),36,247,267,229,166,61,19,32,28,63,152,197,227,236,143,180,186,175,152,162,160,175,107,122,122
Lygon St (East),37,113,38,18,13,7,12,8,17,29,76,96,128,233,160,0,0,0,0,0,0,0,0,0,176
Alfred Place,39,3,0,1,2,1,0,7,31,45,125,137,133,105,86,82,108,128,97,67,63,27,6,11,7
Lonsdale St-Spring St (West),40,58,37,19,12,9,7,19,36,76,368,592,759,843,333,409,316,274,150,195,138,103,130,65,65
Grattan St-Swanston St (West),42,8,12,5,5,4,0,12,16,29,27,50,80,107,94,111,116,89,87,91,61,61,64,45,12
Monash Rd-Swanston St (West),43,4,8,6,1,4,0,11,20,32,46,72,98,87,88,88,114,95,89,74,58,42,25,30,14
Tin Alley-Swanston St (West),44,4,3,2,0,1,0,4,19,19,25,36,65,41,22,57,56,44,50,29,27,23,7,13,7
Little Collins St-Swanston St (East),45,407,318,153,175,82,46,69,156,187,447,768,1597,2742,2819,2663,1630,1339,1287,1142,1160,967,863,740,671
Flinders La-Swanston St (West),41,956,418,284,314,155,183,224,292,526,1117,1896,3032,4231,4160,3963,3190,3057,2845,2569,2103,1684,1656,1711,1839
Pelham St (South),46,0,1,1,0,0,0,1,12,20,33,23,35,38,39,28,67,77,62,55,50,37,0,6,2
Melbourne Central-Elizabeth St (East),47,332,202,130,139,91,57,121,165,278,558,902,1328,1690,1913,1880,1574,1588,1507,1398,1045,810,650,562,406
QVM-Queen St (East),48,0,0,0,0,0,0,30,98,171,390,599,752,886,971,788,719,571,288,213,180,152,151,96,3
QVM-Therry St (South),49,144,113,65,79,41,44,60,94,129,407,641,756,1078,1063,925,806,567,357,333,294,283,232,185,187
Faraday St-Lygon St (West),50,29,16,9,12,4,10,14,17,39,118,257,388,461,429,490,498,395,447,462,466,374,335,172,54
QVM-Franklin St (North),51,31,31,26,36,9,12,20,30,51,102,176,222,264,325,291,239,220,187,176,180,169,110,67,70
Elizabeth St-Lonsdale St (South),52,377,276,139,88,52,32,40,43,65,152,268,420,549,639,655,595,513,437,467,433,425,345,275,218
Collins St (North),53,158,74,57,16,16,18,16,67,123,445,635,1040,1510,1573,1455,1038,998,672,336,310,305,218,178,192
Lincoln-Swanston (West),54,64,35,15,15,11,10,20,23,41,64,59,90,142,191,195,197,150,132,123,148,146,115,93,63
Lonsdale St - Elizabeth St (North),56,250,143,124,87,78,44,33,58,113,242,375,630,716,630,707,592,582,637,577,638,561,546,383,206
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,328,127,113,88,49,48,84,134,274,625,666,885,908,742,688,731,704,659,750,541,501,407,366,312
RMIT Building 80,59,136,77,63,66,25,21,14,27,69,174,246,325,523,533,549,485,444,422,414,338,259,237,202,172
RMIT Building 14,61,172,99,63,49,35,23,55,78,175,333,522,788,966,1007,976,834,762,745,638,609,507,425,276,250
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,109,60,42,24,21,23,43,66,62,168,264,357,373,374,375,372,411,471,401,387,334,312,293,139
231 Bourke St,63,87,104,62,53,44,7,36,49,81,285,688,901,1976,960,894,780,711,650,658,605,474,176,127,102
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,416,286,253,175,61,17,59,82,162,436,1025,1954,2838,2886,2977,2658,2629,2344,1991,1826,1410,1131,741,546
Flinders Ln -Degraves St (South),67,216,92,52,49,20,31,44,86,238,414,634,795,904,1437,1005,920,750,659,649,542,415,325,303,266
Flinders Ln -Degraves St (North),68,75,10,9,7,2,0,17,55,166,438,589,756,674,705,746,649,533,449,312,369,273,161,115,58
Flinders Ln -Degraves St (Crossing),69,24,15,6,5,2,10,8,25,131,270,544,578,682,854,736,574,376,262,39,43,24,13,13,11
Errol Street (East),70,28,1,4,1,6,3,7,14,53,105,157,220,215,232,157,164,198,221,225,231,251,172,30,24
Westwood Place,71,19,14,7,7,2,2,0,4,2,6,9,16,20,22,2,9,6,6,8,6,6,0,11,3
Flinders St- ACMI,72,91,46,25,26,11,5,26,47,113,260,419,562,825,1318,972,787,814,717,587,432,393,325,397,356
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,9,4,3,0,1,1,20,32,35,115,274,159,97,164,242,107,110,137,168,99,54,23,26,69
Macaulay Rd-Bellair St,76,5,1,2,6,2,1,5,16,43,71,127,109,82,69,84,67,79,75,56,74,47,14,8,2
Harbour Esplanade (West) - Pedestrian Path,77,54,9,15,26,3,9,55,96,140,215,314,280,269,300,271,263,257,307,421,623,910,679,436,144
Harbour Esplanade (West) - Bike Path,78,2,5,2,2,1,2,20,53,83,93,135,147,167,145,135,121,91,111,113,104,91,110,57,36
Flinders St (South),79,360,216,159,122,80,77,105,166,204,487,806,1138,1590,2166,1629,1232,1050,1013,1076,941,897,620,759,925
Elizabeth St - Flinders St (East) - New footpath,84,386,230,174,134,80,69,129,261,418,845,1359,1761,2184,3081,2591,2419,2375,2177,2180,1889,1480,1422,1350,915
Macaulay Rd (North),85,5,2,2,3,1,3,3,34,56,119,165,150,159,176,123,117,94,132,103,97,30,43,13,9
Queensberry St - Errol St (South),86,9,0,0,1,3,2,7,21,54,81,59,97,70,56,88,48,46,83,80,71,67,40,28,13
Errol St (West),87,15,3,1,3,1,3,10,29,46,88,133,166,152,119,143,113,102,151,140,133,83,57,29,21
Flagstaff station (East),88,64,39,47,37,13,19,22,40,54,156,194,211,216,221,207,188,175,153,191,134,148,117,83,109
William St - Little Lonsdale St (West),89,143,109,26,29,42,13,41,54,103,158,223,229,277,246,266,216,230,186,197,212,175,172,154,120
La Trobe St - William St (South),90,103,48,13,30,12,6,37,24,48,108,133,147,135,153,157,143,145,170,144,190,210,150,156,115
114 Flinders St,91,129,82,33,32,13,15,34,40,102,270,424,439,503,893,1050,656,553,534,582,383,326,237,392,649
Birrarung Marr East - Batman Ave Bridge Entry,92,7,1,2,0,0,1,1,41,39,25,89,44,126,197,168,155,166,195,257,306,213,23,37,33
474 Flinders St,141,168,117,120,109,55,63,50,47,82,206,288,344,360,397,345,309,242,281,218,272,206,211,228,407
Hamer Hall - River Side,142,9,4,1,1,0,0,76,306,550,692,1036,1351,1699,1803,1798,1762,1456,1587,1456,1860,1053,89,23,32
Cnr Bourke St and Harbour Esplanade,137,1,3,0,1,0,1,1,3,15,13,31,25,24,22,19,26,26,25,32,39,32,11,7,8
Flinders Walk - Sandridge Bridge,139,27,15,5,9,5,6,10,21,30,73,79,90,147,174,106,165,142,177,163,114,100,81,52,62
Birrarung Marr - Federation Bridge,136,12,5,4,1,1,1,48,97,212,296,263,321,441,592,437,357,443,349,275,267,266,70,136,189
Boyd Park,140,0,0,0,0,0,0,11,40,70,127,188,194,198,178,162,141,157,162,169,152,126,0,0,1
I-Hub 892 Bourke Street,130,1,3,1,0,0,2,7,12,48,22,51,56,70,57,79,69,68,69,41,43,69,26,10,3
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,2,0,0,0,0,0
Batman Park,160,236,134,125,88,48,38,64,99,214,260,371,406,431,422,457,469,438,437,411,486,457,406,357,358
City Baths,161,0,0,0,0,0,0,0,1,81,114,155,181,143,108,109,76,89,98,17,2,0,0,4,0
Birrarung Marr – COM Pole 1109,0,77,24,2,0,0,0,80,135,308,380,473,530,681,1248,1476,1327,1716,2176,2883,2054,1332,297,461,545
I-Hub Corner of King Street and Latrobe Street,132,124,86,63,38,17,22,27,45,77,243,277,336,254,256,252,226,195,248,284,261,202,200,152,152
I-Hub 489 Elizabeth Street,162,150,104,85,55,54,43,66,170,288,615,938,1295,1664,1476,1496,1269,962,547,476,450,353,279,261,222
I-Hub 526 La Trobe Street,164,60,37,25,7,20,11,35,90,100,184,248,262,222,217,192,162,154,169,277,199,187,172,151,82
475 Spencer Street,165,19,12,7,12,5,4,23,15,43,55,76,66,69,70,70,67,89,64,119,65,47,38,30,28
484 Spencer Street,166,5,8,3,3,2,2,11,13,26,72,101,90,106,126,91,94,103,104,101,115,36,18,12,13
Total,,15204,8412,5398,4552,2578,2176,3788,6710,12448,25369,40905,58347,74843,79231,76442,66880,61012,58186,53677,48998,41361,33853,28187,25935
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Sunday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,148,101,68,45,23,21,26,59,148,516,1043,1744,2029,2244,2559,2312,2284,2005,1678,1259,812,512,278,147
Bourke Street Mall (South),2,114,84,74,52,18,17,30,44,95,294,601,993,1143,1219,1264,1224,1123,836,680,521,426,329,157,111
Melbourne Central,3,625,396,271,226,127,71,75,88,155,393,654,1072,1623,2015,2073,1624,1621,1696,1667,1751,1438,1228,850,509
Town Hall (West),4,587,395,226,157,101,80,115,178,319,802,1579,2246,3282,3609,3330,2877,2678,2448,2083,1802,1519,1553,953,527
Princes Bridge,5,458,248,103,87,46,55,118,183,390,862,1475,2115,2433,2514,2735,2496,2263,2423,1917,1621,1889,1513,924,466
Flinders Street Station Underpass,6,643,363,187,104,93,89,137,224,430,828,1087,1402,1388,1464,1557,1525,1633,1576,1539,1395,1301,1241,959,574
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,11,9,2,1,0,4,47,118,208,239,303,333,264,282,323,267,271,282,301,216,175,83,37,29
Southern Cross Station,9,30,21,13,13,7,8,30,42,55,89,102,102,95,104,93,103,87,129,130,110,104,76,64,40
Victoria Point,10,23,7,5,2,1,1,10,17,30,49,71,78,55,71,64,60,69,113,145,110,72,64,76,38
Waterfront City,11,34,8,7,11,1,4,22,51,89,122,164,137,56,60,66,79,69,114,176,205,311,214,129,55
New Quay,12,88,27,20,15,6,14,44,114,176,274,331,299,191,230,266,256,287,426,735,621,706,587,512,222
Sandridge Bridge,14,281,175,87,56,50,53,71,97,155,266,408,414,330,355,388,381,440,523,509,412,464,483,427,255
Collins Place (South),17,41,23,15,14,11,10,31,71,122,169,214,233,237,185,209,174,200,250,210,208,151,132,96,57
Collins Place (North),18,14,12,6,2,1,1,14,24,42,76,100,119,111,84,109,75,89,92,105,70,53,46,24,14
Chinatown-Swanston St (North),19,382,259,183,95,46,28,27,25,53,123,288,599,923,1072,1056,1008,960,995,1110,1066,1007,907,580,317
Chinatown-Lt Bourke St (South),20,383,308,224,165,115,51,30,42,44,113,272,370,500,484,462,455,378,502,602,603,606,635,267,122
Bourke St-Russell St (West),21,358,267,162,108,47,23,31,43,59,117,210,384,532,564,642,552,562,626,562,738,688,522,372,220
Flinders St-Elizabeth St (East),22,407,290,176,132,77,85,132,277,516,1065,1489,1673,1596,2006,1942,1913,2001,1985,1925,1716,1556,1386,1010,448
Spencer St-Collins St (South),23,70,38,31,24,18,26,39,65,124,239,268,295,379,265,257,233,272,253,284,247,230,214,146,83
Spencer St-Collins St (North),24,289,155,97,74,46,74,149,233,385,682,795,955,770,787,889,937,955,965,915,733,629,583,505,389
Melbourne Convention Exhibition Centre,25,180,115,40,29,20,21,123,242,367,587,903,1133,967,1140,1253,1237,1194,1222,1261,713,737,813,529,239
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,42,30,23,19,13,16,22,41,114,252,329,431,399,444,364,283,240,162,153,138,123,110,80,58
The Arts Centre,28,91,42,33,32,12,33,79,77,211,547,1190,1700,2258,2215,2233,2157,1602,1488,654,458,740,339,209,128
St Kilda Rd-Alexandra Gardens,29,100,62,43,28,18,25,74,166,325,421,775,1038,1146,1409,1473,1379,1293,1209,1159,1061,1006,1120,283,196
Lonsdale St (South),30,631,469,350,310,192,136,89,84,99,176,296,437,543,657,623,628,606,578,667,683,650,632,461,382
Lygon St (West),31,190,73,24,7,8,10,11,32,69,96,146,206,236,300,351,335,319,389,443,559,643,604,407,166
Southbank,35,967,510,217,104,53,59,206,466,911,1359,1875,2143,2105,2162,2377,2239,2317,2567,2828,2719,2786,2291,1668,980
Queen St (West),36,226,202,204,107,29,19,29,47,76,129,195,150,146,116,153,160,144,164,181,168,141,136,98,70
Lygon St (East),37,176,37,20,10,6,6,10,18,42,72,104,163,153,113,0,0,0,0,0,0,0,0,0,77
Alfred Place,39,1,0,0,0,0,0,1,20,41,71,94,83,91,84,67,76,76,77,69,55,30,4,2,2
Lonsdale St-Spring St (West),40,55,40,18,11,9,8,21,37,71,126,165,301,477,229,262,226,322,198,206,160,115,178,78,34
Grattan St-Swanston St (West),42,24,11,6,5,1,1,9,14,32,35,42,57,53,52,55,61,64,69,61,62,60,49,33,22
Monash Rd-Swanston St (West),43,3,3,1,2,0,0,8,18,31,47,55,66,53,47,50,54,62,66,58,63,52,25,18,12
Tin Alley-Swanston St (West),44,1,0,0,0,0,0,3,13,26,28,38,45,36,30,28,27,41,39,30,42,33,10,7,4
Little Collins St-Swanston St (East),45,353,265,184,121,60,61,83,101,168,345,630,957,1465,1716,1566,1170,1105,1085,982,960,1065,976,476,275
Flinders La-Swanston St (West),41,710,559,314,268,165,201,229,276,487,1086,1871,2391,2725,3100,2897,2767,2523,2346,2055,1736,1586,1640,1184,696
Pelham St (South),46,0,1,0,0,0,0,3,8,20,25,32,29,30,35,40,36,45,45,50,45,46,5,2,0
Melbourne Central-Elizabeth St (East),47,350,204,139,113,58,70,102,152,288,626,961,1173,1238,1547,1541,1345,1389,1373,1281,1150,932,706,508,305
QVM-Queen St (East),48,0,0,0,0,0,0,37,81,170,379,587,681,680,733,616,557,428,226,207,183,160,146,117,1
QVM-Therry St (South),49,120,86,76,60,54,52,52,91,189,410,600,800,898,900,793,679,444,334,295,273,275,224,163,117
Faraday St-Lygon St (West),50,46,17,7,3,8,8,12,25,46,136,256,381,397,419,428,442,404,379,380,403,378,349,161,50
QVM-Franklin St (North),51,48,30,24,19,10,13,19,37,63,130,212,234,280,269,230,212,183,172,167,140,135,99,85,41
Elizabeth St-Lonsdale St (South),52,334,199,137,87,41,24,19,30,58,145,283,362,435,520,536,470,494,490,521,457,386,326,182,133
Collins St (North),53,85,60,40,19,11,11,29,68,125,346,671,921,968,973,994,869,817,622,392,351,296,238,147,83
Lincoln-Swanston (West),54,38,26,16,20,7,6,16,28,29,57,70,92,89,111,133,121,128,136,130,131,117,115,63,40
Lonsdale St - Elizabeth St (North),56,208,180,108,102,74,46,40,62,111,256,383,467,570,636,613,573,549,603,609,636,550,517,296,155
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,223,135,82,57,36,47,80,131,275,508,656,818,706,715,707,653,743,793,814,550,463,436,462,296
RMIT Building 80,59,181,125,86,71,28,23,23,48,104,212,335,375,472,649,635,486,431,527,535,496,431,360,255,146
RMIT Building 14,61,110,89,69,62,28,24,47,67,133,284,390,496,532,589,606,469,480,479,522,476,455,339,228,122
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,97,54,34,32,28,16,26,35,40,88,160,218,220,319,315,319,308,302,318,307,289,234,188,93
231 Bourke St,63,104,73,58,41,15,8,28,47,98,237,363,494,552,689,697,568,581,562,571,551,475,158,97,60
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,406,276,203,165,56,39,65,84,171,405,832,1430,1793,2218,2287,1972,1974,2086,1799,1715,1485,1182,659,302
Flinders Ln -Degraves St (South),67,150,75,43,27,22,9,36,99,230,476,664,822,648,674,718,674,661,610,590,552,513,409,233,88
Flinders Ln -Degraves St (North),68,30,7,3,3,1,0,23,67,173,357,464,563,394,441,539,496,436,422,409,353,293,172,92,35
Flinders Ln -Degraves St (Crossing),69,18,7,8,1,4,4,10,31,136,291,453,534,496,528,502,439,356,249,84,80,60,45,15,7
Errol Street (East),70,12,6,3,4,1,3,8,19,60,118,166,204,194,214,182,177,151,195,204,199,199,163,36,13
Westwood Place,71,6,6,7,2,2,1,4,4,3,6,6,8,6,7,7,13,17,9,13,5,5,8,5,3
Flinders St- ACMI,72,100,53,24,14,11,11,28,66,138,216,292,457,446,543,568,497,507,473,376,313,330,249,176,120
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,4,5,2,2,0,4,23,30,37,79,115,113,69,51,61,55,88,96,139,65,45,25,31,21
Macaulay Rd-Bellair St,76,2,2,1,1,0,3,4,19,48,74,86,86,63,58,54,50,50,57,52,62,41,15,14,2
Harbour Esplanade (West) - Pedestrian Path,77,53,15,14,15,5,7,46,104,169,190,233,201,125,133,140,133,159,271,497,369,446,386,416,136
Harbour Esplanade (West) - Bike Path,78,9,10,5,2,4,3,18,47,84,106,124,99,82,87,82,71,72,76,85,70,58,25,58,25
Flinders St (South),79,313,224,148,102,64,59,99,146,236,506,827,986,938,980,951,962,964,879,880,692,646,636,537,364
Elizabeth St - Flinders St (East) - New footpath,84,407,290,176,132,77,85,132,277,516,1065,1489,1673,1596,2006,1942,1913,2001,1985,1925,1716,1556,1386,1010,448
Macaulay Rd (North),85,8,3,1,1,2,2,4,28,87,117,165,148,128,82,108,96,77,97,83,74,49,26,16,12
Queensberry St - Errol St (South),86,6,5,1,3,2,5,8,21,31,72,60,66,69,68,67,47,43,63,65,63,58,33,21,9
Errol St (West),87,21,12,5,3,4,7,10,25,47,82,139,160,142,144,134,96,85,107,140,112,75,55,35,20
Flagstaff station (East),88,71,38,25,25,11,21,25,35,72,130,159,195,137,149,155,119,125,153,142,134,153,117,105,67
William St - Little Lonsdale St (West),89,98,58,39,45,27,24,43,52,107,150,164,187,172,192,203,152,175,197,203,195,179,199,134,117
La Trobe St - William St (South),90,69,42,36,20,10,12,20,29,43,91,106,108,95,123,120,86,113,118,141,137,138,137,99,71
114 Flinders St,91,121,73,30,17,7,14,29,70,147,292,399,450,361,377,354,390,424,502,571,373,282,294,289,217
Birrarung Marr East - Batman Ave Bridge Entry,92,1,0,0,0,0,3,20,37,61,89,87,96,76,68,77,74,92,161,185,98,95,18,9,5
474 Flinders St,141,122,124,77,63,49,45,49,61,102,212,293,314,258,318,296,247,234,257,277,223,158,216,220,166
Hamer Hall - River Side,142,8,4,0,1,0,4,123,322,572,661,919,1127,1052,944,1054,923,919,1072,1087,1000,1094,178,23,12
Cnr Bourke St and Harbour Esplanade,137,3,1,0,0,1,0,3,8,14,20,27,21,15,20,22,25,26,38,50,45,29,8,12,2
Flinders Walk - Sandridge Bridge,139,28,15,9,4,6,4,13,24,36,70,104,105,82,72,78,81,99,107,120,100,121,63,57,45
Birrarung Marr - Federation Bridge,136,7,7,3,0,2,13,90,150,273,561,482,358,255,193,226,243,298,441,960,284,242,88,188,93
Boyd Park,140,0,0,0,0,0,0,16,39,75,125,167,178,123,118,137,120,124,163,170,174,116,0,0,0
I-Hub 892 Bourke Street,130,1,1,0,0,0,0,5,10,28,38,57,58,45,53,62,63,46,42,64,58,61,12,4,2
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,1,1,8,6,1,1,0,0,0,0,0,0,0,0
Batman Park,160,226,148,86,69,52,38,87,103,234,322,415,447,279,312,326,282,350,451,476,386,425,353,343,284
City Baths,161,0,6,0,0,0,0,0,0,56,87,101,122,88,79,77,94,96,107,16,2,1,1,0,0
Birrarung Marr – COM Pole 1109,0,28,20,0,1,0,12,100,174,371,941,1770,1516,653,625,742,752,1026,1817,2268,941,902,305,219,157
I-Hub Corner of King Street and Latrobe Street,132,90,67,38,27,11,14,28,49,101,180,235,237,184,208,223,171,187,201,221,246,230,217,166,103
I-Hub 489 Elizabeth Street,162,106,72,60,55,30,35,77,151,296,625,880,1250,1300,1314,1259,1003,694,483,492,460,346,284,251,149
I-Hub 526 La Trobe Street,164,44,29,16,11,12,14,44,74,115,205,249,266,147,162,191,166,199,221,271,229,194,150,133,75
475 Spencer Street,165,12,13,8,5,6,4,10,18,29,47,57,62,42,46,53,50,60,62,79,70,54,38,33,23
484 Spencer Street,166,8,3,3,4,1,1,8,16,34,79,80,95,90,77,84,60,80,102,140,127,53,19,10,9
Total,,13268,8600,5384,3946,2298,2159,4016,7046,13346,25619,38988,49149,51512,56227,57004,51944,50584,51311,50146,42852,40024,32999,22502,12808
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Sunday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,194,121,79,59,35,22,22,63,161,525,1054,1777,2256,2589,2819,2803,2546,2062,1498,1061,631,399,222,126
Bourke Street Mall (South),2,152,108,84,68,30,18,25,44,91,281,624,1065,1295,1524,1561,1514,1295,927,628,446,357,235,138,78
Melbourne Central,3,869,554,380,330,171,102,82,106,190,448,793,1369,2369,2904,2807,2646,2374,2215,2081,1943,1608,1268,842,523
Town Hall (West),4,573,369,239,153,75,60,84,126,273,691,1291,2107,3058,3518,3451,3186,2728,2134,1723,1388,1128,973,617,355
Princes Bridge,5,457,229,110,79,42,44,89,184,343,694,1280,1833,2303,2495,2677,2559,2514,2113,1610,1410,1188,1002,696,335
Flinders Street Station Underpass,6,689,362,212,132,94,106,138,219,404,767,1056,1378,1533,1622,1818,1820,1770,1683,1448,1247,1106,993,708,441
Birrarung Marr,7,48,11,8,6,9,5,21,43,81,97,127,146,206,183,202,292,258,201,272,175,103,89,65,155
Webb Bridge,8,21,9,3,2,2,3,22,206,146,219,313,361,394,396,427,440,410,313,229,133,95,60,32,31
Southern Cross Station,9,37,19,16,13,9,10,28,69,82,127,167,180,163,142,155,150,151,136,142,111,87,69,50,54
