Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,90,19,6,12,7,27,29,51,106,126,201,470,872,680,637,629,524,732,1222,858,816,781,484,139
Bourke St-Russell St (West),21,79,35,13,15,4,13,34,69,149,126,298,449,833,832,665,693,642,683,602,730,583,428,279,159
Flinders St-Elizabeth St (East),22,97,55,31,18,37,82,434,864,1828,1381,1194,1511,2140,2341,2165,2214,2662,3246,2342,1695,1360,1170,806,323
Spencer St-Collins St (South),23,21,10,8,10,8,35,135,348,710,440,290,468,888,729,481,445,709,1016,486,220,217,141,126,72
Spencer St-Collins St (North),24,132,45,40,26,34,164,432,1213,2400,1495,1098,1010,1549,1445,1282,1587,2446,3061,1439,707,629,632,427,212
Melbourne Convention Exhibition Centre,25,42,18,5,7,13,38,203,476,643,456,537,662,1037,1175,1109,1161,1231,1460,1095,536,484,458,251,95
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,34,14,4,8,3,15,27,86,109,146,176,192,292,269,190,208,181,276,325,311,261,238,137,47
The Arts Centre,28,42,21,10,27,38,62,336,502,842,745,1014,1467,1814,1828,1876,1809,1684,1725,1742,1019,469,857,731,70
St Kilda Rd-Alexandra Gardens,29,36,22,20,7,7,33,166,270,351,244,294,575,662,720,709,646,577,748,673,482,262,195,205,54
Lonsdale St (South),30,208,63,61,28,14,24,41,102,185,164,257,411,723,724,539,595,581,765,715,702,680,562,456,253
Lygon St (West),31,25,7,9,14,4,18,29,53,108,138,130,180,286,284,239,204,237,257,406,280,423,279,220,78
Southbank,35,115,58,33,17,51,166,646,1270,2328,1500,1224,1533,2516,2495,2176,2159,2661,3657,2717,2025,2005,1543,913,414
Queen St (West),36,23,8,10,8,4,14,50,114,349,297,308,341,779,647,373,321,388,483,363,228,176,189,97,44
Lygon St (East),37,13,9,3,9,4,9,8,25,73,77,105,122,218,235,218,160,188,238,264,0,0,0,0,36
Alfred Place,39,1,0,1,0,0,0,10,72,233,188,178,189,453,371,161,153,145,178,131,47,20,7,1,3
Lonsdale St-Spring St (West),40,22,2,1,3,5,23,83,200,540,429,378,571,1144,663,428,354,408,547,351,212,209,122,186,60
Grattan St-Swanston St (West),42,12,3,3,8,1,13,40,78,214,166,214,230,303,358,225,267,270,312,163,87,96,84,34,43
Monash Rd-Swanston St (West),43,4,5,1,0,2,6,35,60,161,150,235,153,226,261,169,201,388,405,210,105,77,34,29,9
Tin Alley-Swanston St (West),44,2,3,0,0,1,0,15,33,79,62,166,75,110,137,70,90,141,196,93,62,83,15,5,3
Little Collins St-Swanston St (East),45,88,34,26,23,25,37,91,238,517,445,583,870,1395,1544,1295,1272,1249,1354,963,776,789,646,421,194
Flinders La-Swanston St (West),41,167,68,51,65,77,166,560,973,1809,1720,1731,2410,3256,3229,2978,3108,3228,3333,2485,1742,1389,1332,1140,486
Pelham St (South),46,1,0,0,0,0,1,12,32,95,95,106,79,202,181,119,114,85,113,91,73,71,1,1,2
Melbourne Central-Elizabeth St (East),47,160,80,46,30,35,79,259,363,780,727,669,1017,1582,1810,1589,1635,1618,1902,1388,1103,868,651,399,190
QVM-Queen St (East),48,0,0,0,0,0,0,0,0,0,0,269,372,501,426,360,378,405,832,1114,884,799,549,219,0
QVM-Therry St (South),49,91,67,44,56,28,33,71,120,208,261,320,396,608,609,447,361,449,627,662,668,613,512,317,118
Faraday St-Lygon St (West),50,45,6,2,8,4,13,28,50,157,156,230,319,398,381,360,289,325,368,401,277,257,348,156,36
QVM-Franklin St (North),51,19,14,8,9,4,14,53,36,85,81,137,162,211,237,173,164,173,209,218,231,201,127,86,37
Elizabeth St-Lonsdale St (South),52,54,22,34,13,10,18,52,114,347,281,272,408,707,733,532,436,552,654,512,475,400,327,182,70
Collins St (North),53,36,30,6,9,11,18,47,223,551,626,790,1073,1601,1671,1359,1144,1066,1118,635,439,326,288,149,53
Lincoln-Swanston (West),54,20,14,15,12,5,11,11,49,128,117,129,130,144,201,164,196,222,252,188,131,165,157,76,51
Lonsdale St - Elizabeth St (North),56,88,32,33,9,9,21,62,118,289,339,352,442,696,773,569,541,549,743,604,502,491,461,266,120
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,111,54,39,14,14,86,275,828,1710,1070,748,888,1178,1088,897,1032,1711,1927,1020,558,443,382,312,200
RMIT Building 80,59,55,63,33,17,5,23,123,219,423,467,530,442,669,636,633,715,765,771,576,481,422,333,275,111
RMIT Building 14,61,57,28,20,23,12,34,75,312,617,507,594,681,818,825,814,878,982,1240,995,892,444,327,209,115
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,62,45,43,20,10,22,127,61,138,184,263,248,397,384,315,344,408,482,399,427,445,319,257,138
231 Bourke St,63,40,6,6,3,1,2,38,147,273,317,391,558,1067,1003,743,762,738,795,688,603,96,45,49,71
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,107,61,38,22,24,32,113,313,699,714,908,1308,2114,2283,2289,2331,2623,2641,2132,1795,1505,1063,647,216
Flinders Ln -Degraves St (South),67,21,9,10,11,7,28,184,341,615,797,724,830,1218,1255,1014,1022,894,990,702,597,450,305,217,55
Flinders Ln -Degraves St (North),68,3,0,3,0,8,7,25,133,358,407,313,324,630,561,567,491,468,479,400,363,259,128,47,2
Flinders Ln -Degraves St (Crossing),69,7,2,9,1,12,6,22,147,248,307,355,409,652,719,536,457,409,319,241,159,117,51,27,12
Errol Street (East),70,10,4,1,2,3,3,21,59,161,184,161,236,374,323,232,296,248,345,397,341,224,202,178,14
Westwood Place,71,2,4,0,3,5,1,11,16,14,37,61,46,56,18,10,27,26,52,40,17,2,1,7,3
Flinders St- ACMI,72,12,6,5,3,4,28,122,284,746,351,302,437,581,595,645,666,904,1315,632,410,256,171,183,48
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,1,2,0,2,0,9,52,74,126,71,94,79,131,162,121,92,115,155,139,60,68,20,25,6
Macaulay Rd-Bellair St,76,1,2,0,0,0,4,25,56,130,106,100,104,118,99,92,104,153,154,116,86,53,24,22,5
Harbour Esplanade (West) - Pedestrian Path,77,17,28,9,2,13,25,109,180,297,175,169,180,344,277,168,207,257,423,389,369,370,258,125,29
Harbour Esplanade (West) - Bike Path,78,6,13,3,1,0,2,27,107,201,94,90,93,104,102,84,139,181,301,164,75,39,35,14,7
Flinders St (South),79,50,29,22,20,25,48,221,442,855,728,594,785,959,953,932,988,1081,1346,959,626,516,566,423,183
Elizabeth St - Flinders St (East) - New footpath,84,97,55,31,18,37,82,434,864,1828,1381,1194,1511,2140,2341,2165,2214,2662,3246,2342,1695,1360,1170,806,323
Macaulay Rd (North),85,0,2,0,0,2,11,48,77,171,163,156,135,226,175,114,163,170,236,165,89,67,35,21,14
Queensberry St - Errol St (South),86,4,4,2,0,1,3,10,25,75,76,92,120,215,140,91,125,105,129,125,90,76,69,17,11
Errol St (West),87,6,8,5,3,12,7,17,62,170,140,123,175,287,268,173,194,189,206,252,197,182,88,32,13
Flagstaff station (East),88,26,19,27,4,10,16,31,122,308,246,198,189,360,444,271,208,261,366,282,226,253,119,114,65
William St - Little Lonsdale St (West),89,42,22,25,8,9,85,278,821,2398,1363,696,580,996,1219,696,623,1282,2003,787,419,349,291,177,118
La Trobe St - William St (South),90,45,27,9,8,9,38,102,241,581,333,235,218,338,346,254,252,440,590,279,155,181,99,115,78
114 Flinders St,91,20,12,5,6,3,11,85,199,529,337,247,310,461,454,320,351,509,796,472,213,180,196,111,55
Birrarung Marr East - Batman Ave Bridge Entry,92,0,0,0,0,0,0,37,39,18,20,48,112,95,87,74,71,47,44,47,30,27,0,0,0
474 Flinders St,141,38,21,15,11,5,16,65,78,197,222,199,212,337,347,210,238,234,323,197,197,238,116,118,54
Hamer Hall - River Side,142,2,4,0,0,0,0,217,529,588,385,420,654,1175,1119,886,749,684,1060,1276,903,592,32,17,4
Cnr Bourke St and Harbour Esplanade,137,2,0,0,0,0,4,19,67,121,113,58,78,176,120,102,156,194,157,42,41,23,2,2,0
Flinders Walk - Sandridge Bridge,139,4,0,0,0,3,1,23,164,479,137,70,91,167,177,131,133,214,408,203,112,79,32,25,20
Birrarung Marr - Federation Bridge,136,1,1,3,1,2,5,137,287,387,197,150,167,152,198,184,190,299,453,286,135,75,4,7,0
Boyd Park,140,0,0,0,0,0,0,35,64,61,58,70,55,135,150,126,155,193,225,208,176,113,0,0,0
I-Hub 892 Bourke Street,130,0,1,0,0,0,1,10,19,46,43,83,88,172,154,102,101,83,92,91,80,91,12,5,2
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,8,18,11,30,7,12,10,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,9,2,0,6,7,5,0,0,0,0,1,1,0,0
Batman Park,160,74,69,40,34,29,26,139,175,299,230,263,266,385,357,326,354,351,570,423,326,312,249,204,128
City Baths,161,0,0,0,0,0,2,45,78,83,102,139,89,128,107,98,103,163,250,240,182,112,49,5,0
Birrarung Marr – COM Pole 1109,0,0,0,0,0,0,0,134,241,361,173,99,143,225,259,193,176,282,307,285,174,89,2,0,0
I-Hub Corner of King Street and Latrobe Street,132,36,23,14,17,11,12,39,106,217,132,153,176,331,331,264,263,242,347,375,332,283,195,177,98
I-Hub 489 Elizabeth Street,162,71,46,30,33,16,25,66,197,325,346,463,531,1005,809,553,573,587,857,1031,1021,749,535,252,87
I-Hub 526 La Trobe Street,164,27,30,9,12,7,33,79,177,329,235,235,179,235,191,171,183,242,306,371,261,298,168,104,60
475 Spencer Street,165,5,0,10,6,2,0,16,43,76,49,74,65,92,79,71,80,117,126,90,86,73,59,37,13
484 Spencer Street,166,2,0,0,0,1,1,15,28,55,69,93,77,82,101,83,100,82,165,156,154,56,13,9,13
Total,,3586,1842,1247,909,965,2510,10165,22601,47593,35821,34180,43377,67529,67273,56903,57820,66263,80585,59254,43021,34685,27216,18829,7663
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Wednesday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,247,159,115,43,21,20,76,132,331,584,1036,1772,2570,2732,2469,2524,2463,2441,1773,1200,732,400,243,104
Bourke Street Mall (South),2,221,159,83,38,15,12,39,89,245,387,629,1111,1627,1763,1477,1391,1256,1141,729,467,372,278,147,86
Melbourne Central,3,1017,1328,475,206,126,74,100,177,337,457,660,1015,1618,1852,1815,1881,1879,1988,1719,1629,1377,1217,736,442
Town Hall (West),4,1692,1215,415,211,115,81,164,324,673,1052,1577,2557,3319,3385,3303,3256,3237,3258,2433,1752,1445,1269,833,514
Princes Bridge,5,347,230,371,214,101,111,251,465,974,1163,1524,2228,2658,2767,2691,2627,2673,2783,1984,1529,1331,1327,808,565
Flinders Street Station Underpass,6,341,275,633,391,189,183,409,892,2267,1304,1017,1334,1720,1792,1743,1809,2408,3298,1935,1408,1274,1188,925,531
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,112,44,17,2,4,14,103,248,405,297,293,335,646,590,426,421,499,535,305,177,188,59,34,16
Southern Cross Station,9,1138,274,40,16,16,32,236,788,2100,1230,510,429,915,680,499,740,1699,1921,545,194,126,88,67,37
Victoria Point,10,1291,300,45,9,6,9,33,100,165,128,114,136,261,185,115,162,207,190,103,76,70,68,33,12
Waterfront City,11,408,141,33,8,5,6,31,61,72,59,69,117,167,148,104,116,91,123,110,166,241,166,62,29
New Quay,12,1368,413,146,27,21,22,82,188,219,193,216,306,452,412,336,338,354,396,379,483,580,476,219,100
Sandridge Bridge,14,58,45,254,179,104,92,189,266,589,375,358,434,490,539,539,560,706,1030,562,396,374,391,360,223
Collins Place (South),17,336,113,24,15,22,45,125,315,942,576,449,498,1006,907,534,505,468,699,376,199,187,161,118,71
Collins Place (North),18,88,38,6,2,2,9,70,252,825,458,291,282,368,350,287,310,440,691,257,111,72,41,39,14
Chinatown-Swanston St (North),19,251,265,141,63,48,26,16,25,61,116,214,399,723,792,746,745,688,796,830,818,757,617,383,207
Chinatown-Lt Bourke St (South),20,179,272,124,84,45,42,28,44,93,119,198,397,653,599,440,465,395,528,613,608,488,479,263,116
Bourke St-Russell St (West),21,412,274,131,74,41,15,29,63,118,144,232,394,735,771,635,632,639,715,622,686,640,443,269,163
Flinders St-Elizabeth St (East),22,1381,1103,316,239,131,105,356,690,1463,1301,1483,1704,2172,2265,2215,2270,2591,3031,2454,1755,1457,1343,940,428
Spencer St-Collins St (South),23,303,197,53,32,22,34,110,303,698,448,342,428,734,634,460,467,644,834,470,335,252,192,142,77
Spencer St-Collins St (North),24,536,456,204,89,86,140,367,783,1718,1202,1040,1103,1378,1211,1111,1387,2000,2252,1239,733,627,597,483,296
Melbourne Convention Exhibition Centre,25,1372,680,199,90,36,52,182,327,524,500,701,924,960,1051,1089,1052,1041,1066,784,457,472,500,457,101
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,85,61,26,24,12,11,19,67,110,112,147,182,220,187,177,182,215,248,299,320,280,186,115,48
The Arts Centre,28,425,337,140,74,38,61,221,321,730,974,1309,1963,2342,2540,2334,2161,2063,1666,1204,544,374,735,235,263
St Kilda Rd-Alexandra Gardens,29,666,675,151,52,15,41,119,191,282,343,449,683,773,890,860,783,756,832,731,552,385,291,201,398
Lonsdale St (South),30,334,347,228,189,95,114,34,75,138,178,286,385,647,679,571,548,597,653,677,607,505,482,385,309
Lygon St (West),31,62,52,28,19,8,13,17,41,81,93,132,174,276,287,289,273,273,306,367,430,472,391,254,88
Southbank,35,987,1309,532,248,93,133,460,952,1907,1512,1548,2034,2772,2881,2602,2634,2898,3633,2854,2390,2268,1869,1444,718
Queen St (West),36,285,171,66,58,21,22,47,104,295,254,258,295,537,445,323,284,336,418,288,217,176,147,99,69
Lygon St (East),37,45,36,16,6,10,11,9,30,67,80,103,142,244,230,166,136,143,126,71,2,0,0,0,47
Alfred Place,39,2,1,0,0,0,0,13,57,123,143,128,124,285,215,118,105,120,135,68,53,23,5,2,0
Lonsdale St-Spring St (West),40,160,73,23,9,6,14,56,134,343,283,315,479,707,437,320,304,336,379,301,214,135,135,203,45
Grattan St-Swanston St (West),42,17,17,12,5,4,6,28,48,139,167,113,146,251,230,194,168,184,221,116,81,70,70,40,22
Monash Rd-Swanston St (West),43,10,12,4,1,1,6,21,39,105,152,94,105,125,145,133,148,189,207,144,97,75,50,33,9
Tin Alley-Swanston St (West),44,3,4,1,0,0,2,12,27,55,94,44,64,74,81,75,82,80,97,79,49,73,24,12,2
Little Collins St-Swanston St (East),45,634,490,178,138,58,61,74,177,382,465,603,891,1362,1466,1293,1280,1276,1331,1001,862,832,729,379,248
Flinders La-Swanston St (West),41,1355,1078,519,328,184,204,442,759,1470,1639,1981,2651,3116,3074,3069,3075,3264,3383,2477,1734,1506,1425,1065,735
Pelham St (South),46,0,0,0,0,0,1,11,22,56,70,73,63,127,121,82,68,83,89,55,42,42,10,2,0
Melbourne Central-Elizabeth St (East),47,802,1159,241,134,78,79,193,282,621,665,798,1129,1571,1703,1568,1610,1645,1924,1433,1073,845,725,450,261
QVM-Queen St (East),48,0,0,0,0,0,0,0,0,0,0,240,318,374,375,301,286,368,777,953,872,765,489,200,0
QVM-Therry St (South),49,208,135,97,74,52,49,64,103,168,238,322,358,510,511,410,369,380,494,580,556,542,459,278,158
Faraday St-Lygon St (West),50,29,30,15,8,7,9,16,36,94,134,199,302,412,415,364,454,370,397,379,317,390,319,148,44
QVM-Franklin St (North),51,152,58,30,26,17,22,31,39,78,103,119,141,190,165,144,133,168,203,238,196,157,105,94,55
Elizabeth St-Lonsdale St (South),52,192,203,115,87,37,27,39,89,249,241,300,410,650,703,602,557,580,664,537,485,394,333,163,98
Collins St (North),53,323,211,56,28,12,17,48,184,449,584,840,1168,1571,1528,1315,1174,1026,993,567,372,309,240,152,84
Lincoln-Swanston (West),54,45,44,20,14,7,9,20,42,89,88,84,107,162,162,157,142,153,204,159,128,136,119,71,44
Lonsdale St - Elizabeth St (North),56,213,225,103,68,44,48,50,104,227,286,382,447,636,744,584,551,574,699,673,594,521,433,280,135
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,431,346,174,73,51,89,222,654,1356,871,836,931,1147,1034,843,1001,1400,1636,884,568,485,448,363,245
RMIT Building 80,59,194,209,111,65,32,35,97,168,316,346,378,440,555,619,601,645,703,800,592,496,406,338,244,142
RMIT Building 14,61,128,165,67,51,33,39,68,184,379,371,428,538,630,656,635,602,635,761,641,580,478,311,223,112
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,193,114,53,38,24,26,83,69,112,173,198,240,283,288,304,325,394,384,373,333,310,275,206,105
231 Bourke St,63,75,64,34,19,6,6,37,115,243,305,407,669,929,988,772,719,730,772,620,609,477,187,110,46
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,534,629,215,134,59,53,84,209,476,516,751,1215,1716,1973,2066,2161,2249,2381,1829,1608,1428,1101,575,223
Flinders Ln -Degraves St (South),67,65,78,35,28,12,22,120,211,418,593,776,870,1128,1004,913,900,865,863,663,570,467,354,192,65
Flinders Ln -Degraves St (North),68,26,40,23,4,2,6,51,141,322,458,620,730,979,839,756,686,568,563,440,437,334,173,66,35
Flinders Ln -Degraves St (Crossing),69,24,18,3,4,5,6,33,117,261,385,547,653,734,719,637,543,428,354,210,119,103,83,32,15
Errol Street (East),70,28,15,6,3,2,3,17,55,103,122,154,250,272,295,207,208,238,259,276,278,187,180,102,17
Westwood Place,71,13,9,2,5,6,5,5,13,27,36,25,39,41,28,11,13,34,37,49,29,8,9,7,5
Flinders St- ACMI,72,392,361,70,18,14,17,69,182,546,301,299,423,552,577,539,618,792,890,443,302,203,229,164,99
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,154,57,11,2,0,10,42,57,95,69,103,115,137,128,120,99,145,173,112,72,40,22,29,16
Macaulay Rd-Bellair St,76,19,3,4,1,0,4,15,49,78,75,76,106,126,98,81,73,93,90,76,54,42,19,9,2
Harbour Esplanade (West) - Pedestrian Path,77,543,257,53,17,13,20,79,190,221,175,184,227,325,280,233,218,266,382,309,321,389,255,142,57
Harbour Esplanade (West) - Bike Path,78,381,147,46,19,8,9,25,68,102,82,73,95,107,94,100,107,149,215,115,73,67,20,9,10
Flinders St (South),79,157,461,257,130,96,92,179,318,716,659,807,928,1035,1028,1002,1008,1208,1382,1034,678,604,537,453,319
Elizabeth St - Flinders St (East) - New footpath,84,1381,1103,316,239,131,105,356,690,1463,1301,1483,1704,2172,2265,2215,2270,2591,3031,2454,1755,1457,1343,940,428
Macaulay Rd (North),85,16,11,6,2,1,5,32,61,103,120,118,140,174,145,117,119,117,158,115,89,53,26,10,5
Queensberry St - Errol St (South),86,11,12,6,2,2,2,18,35,46,60,66,87,130,122,92,76,64,99,90,76,70,38,20,9
Errol St (West),87,25,14,7,2,5,6,21,50,87,100,138,167,259,204,165,158,142,147,157,124,96,54,27,22
Flagstaff station (East),88,317,99,31,20,14,23,32,86,228,163,162,192,260,296,198,157,186,275,197,198,190,139,108,57
William St - Little Lonsdale St (West),89,379,177,80,46,37,64,173,533,1610,748,406,370,643,730,472,473,822,1318,499,333,261,252,166,108
La Trobe St - William St (South),90,523,161,64,30,25,36,71,176,414,249,154,178,263,285,234,241,320,402,222,161,160,153,133,69
114 Flinders St,91,408,241,51,23,12,22,61,139,449,315,308,339,451,460,373,412,552,748,492,337,241,238,247,149
Birrarung Marr East - Batman Ave Bridge Entry,92,73,19,3,0,0,4,31,59,56,51,89,123,132,140,104,117,151,184,135,99,71,12,5,2
474 Flinders St,141,63,133,15,9,41,39,58,78,165,223,264,287,374,394,338,276,305,317,252,194,162,137,139,154
Hamer Hall - River Side,142,28,28,6,2,1,9,196,421,562,494,654,1019,1532,1438,1196,1025,1031,1191,972,933,725,99,13,8
Cnr Bourke St and Harbour Esplanade,137,52,7,2,11,0,2,14,48,88,73,56,63,127,82,79,127,134,120,48,27,21,7,5,4
Flinders Walk - Sandridge Bridge,139,91,68,43,8,6,4,30,102,351,129,104,108,163,139,125,134,184,305,133,87,94,63,37,19
Birrarung Marr - Federation Bridge,136,28,32,2,2,0,10,94,187,319,264,220,254,263,267,240,267,355,477,311,202,198,99,36,35
Boyd Park,140,0,0,0,0,0,1,39,91,148,114,111,121,144,146,143,154,174,214,179,177,117,0,0,0
I-Hub 892 Bourke Street,130,35,7,3,1,1,1,11,23,36,45,63,74,111,119,82,73,72,100,82,62,61,16,6,3
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,4,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,5,6,14,5,0,0,0,1,0
516 Elizabeth St,159,0,0,0,0,1,0,0,0,1,2,2,5,2,5,2,1,0,1,0,1,1,0,0,1
Batman Park,160,628,407,191,128,69,55,131,156,265,234,306,363,386,401,389,419,420,492,403,334,336,290,257,174
City Baths,161,0,0,0,0,0,0,37,70,103,91,90,82,102,69,83,92,118,168,173,112,54,45,7,2
Birrarung Marr – COM Pole 1109,0,630,291,88,11,6,13,104,217,389,658,1326,1171,717,683,645,766,1198,1761,1265,815,563,148,120,111
I-Hub Corner of King Street and Latrobe Street,132,394,163,80,45,38,28,40,81,154,144,160,201,249,269,212,207,219,311,280,263,250,227,172,96
I-Hub 489 Elizabeth Street,162,202,169,93,60,32,41,84,168,287,363,457,600,891,787,600,597,608,858,925,991,714,474,297,129
I-Hub 526 La Trobe Street,164,510,158,46,25,16,25,78,164,252,173,240,244,265,255,211,207,272,352,311,260,240,133,144,61
475 Spencer Street,165,51,28,14,4,2,8,18,38,63,42,46,57,70,80,65,81,94,124,107,88,58,50,73,20
484 Spencer Street,166,29,12,6,1,4,2,13,22,71,56,82,88,102,101,83,94,86,131,117,119,40,18,17,4
Total,,29363,21022,8743,4904,2763,3031,8008,16950,36558,32740,37587,49171,65789,66172,59370,59639,65577,75035,55063,42930,36598,29673,19772,11195
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Wednesday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,66,41,28,14,9,16,88,190,436,653,993,1526,2335,2468,2148,2138,2153,2300,1694,1048,679,454,276,131
Bourke Street Mall (South),2,49,31,21,13,9,13,54,120,314,405,610,950,1578,1653,1278,1202,1168,1137,769,432,326,249,166,81
Melbourne Central,3,290,238,116,73,55,63,142,225,516,628,864,1282,2092,2165,2065,2109,2200,2410,2262,1893,1652,1360,898,531
Town Hall (West),4,232,140,57,34,28,50,159,324,740,950,1357,1925,2775,2844,2580,2551,2504,2511,1919,1349,1105,953,735,357
Princes Bridge,5,128,56,49,40,30,77,264,618,1205,1006,1103,1411,1776,1909,1685,1853,2028,2450,1813,1262,1002,1000,945,405
Flinders Street Station Underpass,6,169,73,74,50,52,165,527,1232,3088,1576,934,1078,1540,1609,1491,1714,2384,3577,2116,1366,1172,1100,869,463
Birrarung Marr,7,5,2,1,2,8,26,70,153,207,92,60,81,122,148,92,105,142,238,234,121,59,68,183,30
Webb Bridge,8,16,6,2,1,2,18,85,264,447,329,256,306,611,536,357,373,478,598,316,161,121,69,43,31
