Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Flinders La-Swanston St (West),41,640,200,126,38,101,169,506,792,1432,1696,2025,2824,3313,3394,3423,3411,3430,3907,3308,2776,2265,2338,2494,2224
Pelham St (South),46,0,1,1,0,0,0,7,25,67,63,107,61,115,103,105,76,88,87,67,65,67,4,1,2
Melbourne Central-Elizabeth St (East),47,213,116,63,35,37,81,225,253,663,759,917,1352,1670,1962,1815,2000,1830,1847,1532,1364,1162,1046,761,591
QVM-Queen St (East),48,0,0,0,0,0,0,56,107,236,345,414,510,678,693,630,492,348,310,296,266,192,217,165,0
QVM-Therry St (South),49,62,28,49,33,39,57,77,120,220,343,464,640,918,915,722,642,403,424,440,299,347,287,200,187
Faraday St-Lygon St (West),50,10,7,1,18,6,13,19,47,119,183,258,372,471,424,364,369,371,403,409,544,485,468,316,108
QVM-Franklin St (North),51,46,27,12,20,4,25,60,38,99,118,188,196,281,241,294,194,172,186,223,142,137,119,53,58
Elizabeth St-Lonsdale St (South),52,87,57,19,11,12,14,34,101,313,261,299,436,652,745,673,640,590,694,724,700,673,580,407,558
Collins St (North),53,35,10,15,12,10,14,36,156,451,631,915,1351,1638,1773,1456,1329,1280,1201,849,647,483,359,314,329
Lincoln-Swanston (West),54,35,23,3,2,5,10,18,25,89,103,147,139,188,170,150,167,207,219,210,176,169,172,89,87
Lonsdale St - Elizabeth St (North),56,113,52,26,17,13,13,38,101,252,324,415,507,756,712,675,603,677,749,682,799,745,705,524,349
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,126,61,38,15,29,78,195,567,1223,910,838,987,1152,1108,993,1124,1380,1521,1072,672,523,539,488,406
RMIT Building 80,59,70,45,23,16,10,26,64,161,315,344,421,402,509,494,543,574,606,721,620,513,451,390,341,245
RMIT Building 14,61,98,45,25,18,10,29,85,213,452,498,547,577,880,804,807,800,767,1014,962,818,644,531,367,285
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,58,67,36,15,15,26,143,96,163,221,308,374,359,436,446,419,403,526,502,430,428,430,311,173
231 Bourke St,63,58,16,7,2,5,1,26,108,211,280,402,693,949,1051,835,818,795,1106,1061,1078,751,267,242,286
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,138,109,27,26,22,29,90,215,489,573,883,1275,1874,1992,1949,2140,2301,2574,2494,2068,1951,1786,1174,734
Flinders Ln -Degraves St (South),67,78,28,12,1,4,12,77,188,405,697,851,932,1203,1117,1026,1032,1057,1149,1048,880,726,615,551,375
Flinders Ln -Degraves St (North),68,9,2,1,1,7,6,56,146,320,549,645,796,925,638,694,662,610,560,583,494,347,223,179,179
Flinders Ln -Degraves St (Crossing),69,2,2,5,5,16,26,42,154,267,394,432,754,683,601,565,563,469,453,374,336,168,110,133,97
Errol Street (East),70,4,5,1,0,2,9,14,72,90,138,168,194,294,350,249,273,278,289,355,378,304,290,248,44
Westwood Place,71,27,2,0,0,3,3,9,16,39,25,60,56,32,40,32,14,30,60,27,24,6,22,1,15
Flinders St- ACMI,72,93,12,4,11,6,23,92,174,486,284,307,460,591,559,719,652,893,1042,875,661,476,495,699,417
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,25,12,0,1,4,14,52,52,109,73,128,126,148,157,108,126,185,253,209,115,64,41,86,55
Macaulay Rd-Bellair St,76,1,0,0,1,0,3,21,68,102,83,105,104,139,118,107,113,129,113,124,88,60,43,25,19
Harbour Esplanade (West) - Pedestrian Path,77,46,34,3,0,11,21,75,162,215,218,205,222,254,238,255,212,314,367,406,377,391,291,175,135
Harbour Esplanade (West) - Bike Path,78,14,11,0,2,3,4,18,60,90,73,71,74,84,93,89,115,135,175,114,60,42,20,20,18
Flinders St (South),79,409,78,51,32,11,40,188,301,701,598,853,1087,1275,1162,1133,1281,1457,1691,1330,1067,876,911,1032,900
Elizabeth St - Flinders St (East) - New footpath,84,239,115,72,33,33,93,373,648,1473,1350,1568,1971,2364,2309,2365,2422,2698,3093,2707,2106,1890,1793,1624,1021
Macaulay Rd (North),85,4,0,0,1,0,7,38,54,155,181,203,213,259,203,144,153,142,172,207,159,97,54,26,26
Queensberry St - Errol St (South),86,2,2,1,4,4,4,16,32,60,60,77,165,103,100,96,107,94,100,136,120,103,70,43,12
Errol St (West),87,10,2,4,6,2,12,20,54,86,117,178,149,274,243,193,192,180,205,287,212,169,106,47,22
Flagstaff station (East),88,41,35,17,6,9,17,44,87,239,189,245,240,294,372,255,235,268,348,295,210,215,153,169,119
William St - Little Lonsdale St (West),89,62,41,15,11,19,78,189,477,1559,851,485,489,677,836,574,533,760,1143,564,433,324,324,260,183
La Trobe St - William St (South),90,52,21,9,6,9,25,103,203,419,274,229,207,276,347,295,198,384,436,247,147,198,196,173,111
114 Flinders St,91,252,25,18,8,7,11,68,114,434,320,366,497,490,564,444,403,666,833,898,535,351,451,797,438
Birrarung Marr East - Batman Ave Bridge Entry,92,6,0,0,0,0,0,20,42,32,30,75,139,142,192,166,118,193,264,286,261,107,22,56,6
474 Flinders St,141,213,53,38,20,16,18,64,84,197,231,289,316,329,404,325,292,264,364,308,263,254,256,366,291
Hamer Hall - River Side,142,10,2,0,0,0,1,176,422,566,514,704,1017,1208,1265,1091,903,1171,1424,1814,2034,1249,93,38,29
Cnr Bourke St and Harbour Esplanade,137,0,0,0,0,0,1,14,48,76,66,44,51,96,93,49,108,111,89,48,32,32,3,12,2
Flinders Walk - Sandridge Bridge,139,28,7,0,0,2,1,28,99,310,117,89,110,154,238,176,156,267,324,188,115,103,85,99,63
Birrarung Marr - Federation Bridge,136,57,2,2,0,0,1,74,202,294,208,400,388,319,342,267,348,505,577,430,278,186,111,252,44
Boyd Park,140,0,0,0,0,0,0,34,53,31,103,91,43,136,142,46,153,164,185,188,167,159,0,0,0
I-Hub 892 Bourke Street,130,0,0,0,0,0,0,9,23,41,47,88,70,137,135,104,112,103,116,104,64,64,10,7,9
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,4,7,20,14,25,7,3,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,2,0,0,0,0,2,0,0
516 Elizabeth St,159,0,0,2,0,0,0,0,0,0,4,25,5,2,17,20,8,0,4,0,0,0,0,0,0
Batman Park,160,101,64,41,25,21,34,118,144,283,241,376,371,394,445,407,371,502,592,576,442,434,356,386,303
City Baths,161,8,7,0,0,0,0,36,63,82,104,122,120,123,136,92,68,114,174,164,136,24,0,0,0
Birrarung Marr – COM Pole 1109,0,259,0,0,0,0,0,97,241,340,327,902,1532,1329,1496,1334,1143,2311,2830,2768,1693,1012,482,667,60
I-Hub Corner of King Street and Latrobe Street,132,44,39,17,7,7,18,67,97,169,181,237,371,341,341,316,272,243,335,289,280,247,239,215,177
I-Hub 489 Elizabeth Street,162,79,49,24,29,31,33,74,241,380,550,767,969,1257,1297,935,896,641,640,667,570,422,412,279,233
I-Hub 526 La Trobe Street,164,31,12,8,6,3,17,75,150,267,219,255,263,308,212,236,228,224,303,304,262,165,175,162,102
475 Spencer Street,165,15,10,5,1,0,3,15,39,78,79,64,99,108,98,86,88,107,112,81,96,73,65,40,46
484 Spencer Street,166,2,5,2,1,1,1,11,33,55,81,70,84,136,103,73,69,77,111,136,113,41,25,17,8
Total,,8353,3130,1646,1120,1094,2339,8451,16464,35022,33955,40900,54275,68829,69655,63646,62914,68533,79674,71222,61983,50466,44551,40979,34152
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Friday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,63,42,30,22,48,25,69,103,309,761,1277,2053,2742,2998,3009,3005,2800,2814,2445,2117,1812,963,506,262
Bourke Street Mall (South),2,69,37,38,16,8,9,34,66,195,456,763,1288,1655,1718,1729,1738,1561,1412,1070,892,776,463,296,190
Melbourne Central,3,218,142,83,48,37,23,68,120,265,462,733,1094,1695,1991,1940,2088,2161,2116,2098,1966,1845,1716,1308,940
Town Hall (West),4,221,133,56,43,39,54,125,255,600,1141,1785,2700,3479,3645,3776,3686,3551,3491,2960,2718,2411,2228,1682,927
Princes Bridge,5,209,79,32,49,34,52,157,318,727,1117,1765,2407,2837,2958,2849,2978,2762,3064,2871,2550,2678,2416,2110,994
Flinders Street Station Underpass,6,258,74,37,21,52,91,280,522,1193,1000,1088,1327,1662,1676,1844,1964,2129,2555,2166,1801,1812,1767,1463,896
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,4,2,0,1,1,11,68,149,278,284,310,395,468,447,407,446,464,496,368,320,310,119,51,25
Southern Cross Station,9,23,8,6,7,6,27,114,316,750,536,292,274,550,404,323,410,661,712,290,158,118,110,82,46
Victoria Point,10,8,3,1,1,1,5,17,44,92,95,96,105,158,135,100,114,128,128,112,110,88,69,61,26
Waterfront City,11,12,6,5,2,1,7,31,56,77,81,103,113,112,104,99,90,106,121,134,172,279,230,107,77
New Quay,12,45,19,10,5,5,17,61,128,206,230,302,305,340,340,326,346,340,460,514,596,681,640,365,200
Sandridge Bridge,14,117,35,20,12,28,55,145,205,432,445,545,638,678,700,741,764,828,1040,904,842,849,908,809,502
Collins Place (South),17,19,9,13,12,20,37,98,214,482,390,384,405,590,587,408,392,370,440,396,257,252,222,201,101
Collins Place (North),18,8,2,1,2,3,6,48,128,400,309,250,261,284,291,254,283,307,352,217,135,86,44,39,24
Chinatown-Swanston St (North),19,214,143,58,38,19,14,22,30,87,176,340,601,997,1147,1090,1042,975,1112,1285,1308,1304,1207,933,628
Chinatown-Lt Bourke St (South),20,143,144,100,71,57,31,21,44,87,111,217,340,596,576,466,435,374,554,819,961,1015,756,719,510
Bourke St-Russell St (West),21,155,88,50,31,17,7,28,56,102,145,257,424,692,771,672,646,644,776,682,877,940,750,624,461
Flinders St-Elizabeth St (East),22,181,81,52,46,35,67,266,513,1083,1309,1569,1747,2125,2282,2356,2452,2571,2704,2474,2214,2201,2072,1444,732
Spencer St-Collins St (South),23,40,27,19,19,7,31,85,184,365,296,293,404,543,479,399,416,493,497,400,335,255,282,231,128
Spencer St-Collins St (North),24,144,63,40,29,35,118,318,570,1108,1056,1038,1077,1238,1234,1194,1363,1554,1568,1199,896,702,826,706,432
Melbourne Convention Exhibition Centre,25,86,39,22,16,15,31,132,264,483,637,948,1265,1479,1711,1695,1756,1642,1677,1553,1380,1432,1396,838,380
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,27,15,9,12,5,12,31,81,136,182,233,292,333,353,283,240,192,206,204,161,162,130,102,65
The Arts Centre,28,45,23,18,25,25,43,136,200,488,783,1429,2015,2292,2487,2344,2192,1911,1678,1482,1256,948,898,919,228
St Kilda Rd-Alexandra Gardens,29,52,35,11,13,10,22,98,181,244,354,577,753,893,964,973,931,857,899,882,764,758,619,459,230
Lonsdale St (South),30,222,161,104,84,70,56,43,53,102,189,302,419,607,682,635,660,609,694,879,858,838,830,776,679
Lygon St (West),31,48,23,6,7,10,11,15,45,82,113,138,224,272,320,367,317,304,355,488,572,740,780,631,421
Southbank,35,351,114,42,47,33,78,339,672,1221,1425,1771,1900,2436,2551,2600,2701,2743,3410,3460,3264,3244,2853,2458,1347
Queen St (West),36,47,32,22,15,8,17,43,80,192,209,255,258,387,341,279,254,258,367,345,270,246,260,237,226
Lygon St (East),37,45,19,7,4,11,5,11,25,53,87,106,142,222,223,213,211,177,246,290,99,0,0,0,170
Alfred Place,39,0,0,0,0,0,0,9,29,92,120,108,94,144,114,95,95,103,156,117,98,33,3,4,1
Lonsdale St-Spring St (West),40,25,14,7,6,5,15,49,93,197,211,219,273,431,312,266,244,255,335,373,275,214,187,291,97
Grattan St-Swanston St (West),42,8,5,4,2,1,2,27,42,107,116,118,160,178,188,144,151,150,161,96,88,67,75,39,28
Monash Rd-Swanston St (West),43,3,1,2,0,0,2,17,28,59,73,69,88,94,115,90,131,132,143,115,95,60,53,31,13
Tin Alley-Swanston St (West),44,1,0,0,0,0,0,12,19,31,43,39,51,59,67,45,79,54,70,51,49,46,24,11,3
Little Collins St-Swanston St (East),45,133,69,37,46,29,33,62,146,317,448,680,979,1411,1488,1468,1537,1417,1456,1438,1296,1361,1298,1012,672
Flinders La-Swanston St (West),41,319,146,80,79,85,132,323,544,1113,1669,2186,2707,3192,3308,3336,3359,3341,3387,2950,2474,2235,2149,1892,1220
Pelham St (South),46,0,0,0,0,0,0,9,19,37,38,51,56,82,79,69,67,79,77,66,44,44,9,4,3
Melbourne Central-Elizabeth St (East),47,186,99,62,45,33,52,144,219,447,649,908,1352,1738,1825,1807,1824,1794,1895,1714,1325,1151,985,712,439
QVM-Queen St (East),48,0,0,0,0,0,0,39,113,214,295,418,559,722,701,656,553,301,283,273,225,223,193,139,0
QVM-Therry St (South),49,84,70,65,43,29,40,66,123,231,352,561,761,948,981,839,726,440,402,367,358,307,288,229,160
Faraday St-Lygon St (West),50,16,5,3,1,9,7,9,33,93,186,221,366,483,455,449,456,406,418,460,504,533,510,280,109
QVM-Franklin St (North),51,28,20,16,11,10,15,30,41,87,134,169,234,279,266,257,222,167,172,179,143,147,123,95,66
Elizabeth St-Lonsdale St (South),52,101,46,23,20,12,7,31,73,177,209,294,423,596,700,634,658,629,678,684,720,620,542,442,350
Collins St (North),53,47,25,15,8,9,6,31,147,338,637,895,1214,1557,1563,1496,1348,1260,1071,815,561,470,340,281,147
Lincoln-Swanston (West),54,17,9,9,5,3,5,12,25,60,65,71,85,112,135,125,119,115,155,109,116,114,108,73,52
Lonsdale St - Elizabeth St (North),56,93,54,30,17,12,18,38,82,173,257,390,473,605,680,643,584,613,687,748,739,726,672,476,257
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,153,65,42,23,24,62,166,386,891,797,834,872,1114,1026,925,970,1154,1318,948,715,571,552,500,334
RMIT Building 80,59,81,52,28,20,15,16,55,96,184,281,383,446,531,592,624,700,669,725,668,641,581,441,341,264
RMIT Building 14,61,77,45,29,17,9,18,60,145,281,349,436,522,647,622,634,608,590,684,640,595,530,384,290,172
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,70,40,19,13,11,14,52,53,91,137,213,238,318,305,330,324,318,387,336,358,323,281,216,135
231 Bourke St,63,65,22,26,9,5,8,32,75,162,287,439,620,876,928,825,795,782,842,890,883,708,376,257,155
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,157,87,43,36,18,23,68,168,317,482,866,1304,1805,2127,2321,2380,2335,2540,2316,2023,1918,1608,1101,617
Flinders Ln -Degraves St (South),67,33,22,10,11,8,16,78,193,379,635,771,867,1018,971,987,965,954,899,844,759,772,674,506,265
Flinders Ln -Degraves St (North),68,4,2,1,1,2,4,42,120,265,479,549,617,762,658,736,758,621,532,520,481,415,260,168,113
Flinders Ln -Degraves St (Crossing),69,3,1,1,4,5,6,21,77,191,334,446,503,620,706,696,628,524,455,353,281,173,120,89,43
Errol Street (East),70,8,2,1,0,0,4,15,42,107,150,196,234,272,269,218,220,244,256,257,260,229,192,147,37
Westwood Place,71,5,3,1,0,2,3,9,9,20,37,37,37,42,24,14,20,27,30,21,18,9,11,12,11
Flinders St- ACMI,72,39,6,6,3,6,12,60,119,311,260,356,481,656,628,663,693,731,769,664,614,600,578,410,340
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,3,1,1,1,0,4,37,39,78,89,115,115,109,102,115,96,117,154,203,88,69,39,27,19
Macaulay Rd-Bellair St,76,2,0,2,0,1,2,16,40,84,89,107,110,130,107,99,93,88,118,106,89,53,21,15,5
Harbour Esplanade (West) - Pedestrian Path,77,37,11,10,8,4,15,55,127,178,184,222,219,250,233,194,230,244,329,345,378,431,370,209,126
Harbour Esplanade (West) - Bike Path,78,12,6,0,2,1,3,23,46,71,79,98,109,119,108,111,111,120,124,98,80,58,21,18,12
Flinders St (South),79,160,62,35,41,29,47,140,233,492,649,883,1017,1114,1109,1095,1117,1163,1313,1222,938,936,863,740,507
Elizabeth St - Flinders St (East) - New footpath,84,181,81,52,46,35,67,266,513,1083,1309,1569,1747,2125,2282,2356,2452,2571,2704,2474,2214,2201,2072,1444,732
Macaulay Rd (North),85,3,0,0,1,2,5,20,50,85,128,144,170,214,169,147,126,129,146,155,116,74,49,24,14
Queensberry St - Errol St (South),86,5,2,1,2,1,3,11,27,57,74,109,104,109,121,85,81,74,91,97,84,89,65,40,15
Errol St (West),87,5,3,3,1,2,14,13,43,87,121,166,176,245,212,160,151,179,188,224,206,166,91,59,31
Flagstaff station (East),88,41,24,11,6,6,18,27,66,150,157,185,195,256,262,215,210,195,246,220,211,185,173,133,76
William St - Little Lonsdale St (West),89,66,37,19,16,14,52,107,272,836,507,387,316,444,527,372,417,533,695,396,338,270,260,214,153
La Trobe St - William St (South),90,55,19,10,7,9,18,62,116,242,192,157,164,217,236,186,196,241,286,198,160,181,160,170,93
114 Flinders St,91,71,21,12,11,4,11,44,102,279,334,387,323,386,405,382,409,520,608,691,469,400,467,360,257
Birrarung Marr East - Batman Ave Bridge Entry,92,0,1,0,0,0,1,27,49,95,85,118,123,124,129,98,119,158,202,165,95,76,17,5,3
474 Flinders St,141,73,35,18,25,13,22,49,69,136,241,309,302,308,350,295,311,313,334,262,222,220,233,224,162
Hamer Hall - River Side,142,4,2,0,0,0,8,153,351,489,614,902,1046,1359,1435,1280,1209,1203,1315,1433,1341,1384,262,40,22
Cnr Bourke St and Harbour Esplanade,137,0,0,0,0,0,1,9,30,43,40,40,52,67,66,47,61,85,73,46,44,32,10,20,7
Flinders Walk - Sandridge Bridge,139,12,7,1,2,1,3,22,55,155,101,120,131,145,155,172,160,177,242,174,134,150,90,68,57
Birrarung Marr - Federation Bridge,136,4,3,1,2,1,12,101,186,273,760,795,319,263,298,326,496,734,870,1385,257,412,239,37,18
Boyd Park,140,0,0,0,0,0,2,30,78,118,117,143,152,137,147,152,146,161,195,178,146,133,1,0,0
I-Hub 892 Bourke Street,130,0,0,0,0,0,1,4,26,30,47,62,55,73,100,92,86,84,82,70,59,59,21,10,2
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,1,1,0,0,3,2,2,4,3,7,2,1,0,0,12,0,0,2,0
Batman Park,160,123,71,44,30,35,31,98,148,229,313,382,381,388,442,435,410,466,514,519,514,462,483,426,316
City Baths,161,0,0,0,0,0,2,31,59,99,100,94,116,122,94,92,86,118,136,130,95,17,4,1,0
Birrarung Marr – COM Pole 1109,0,2,2,0,1,0,8,98,187,316,912,1560,1097,632,621,575,768,1244,1961,2151,886,748,329,109,74
I-Hub Corner of King Street and Latrobe Street,132,68,37,18,12,11,14,44,75,147,187,239,256,276,321,289,247,241,277,277,278,264,245,206,138
I-Hub 489 Elizabeth Street,162,80,61,36,21,23,32,91,206,351,525,763,1069,1344,1294,1147,979,652,595,558,568,457,349,271,165
I-Hub 526 La Trobe Street,164,40,15,8,7,7,15,66,124,185,196,238,221,280,269,256,245,225,310,296,281,247,202,181,103
475 Spencer Street,165,10,5,2,2,1,4,14,35,45,53,67,84,76,86,72,86,100,105,110,91,78,45,91,33
484 Spencer Street,166,4,1,1,0,1,2,9,23,60,52,76,90,105,111,99,88,80,103,135,124,50,24,16,9
Total,,5891,3015,1737,1362,1183,1901,6138,12256,25304,32367,42528,52103,65075,67743,65716,66325,65894,71243,66317,57105,53864,45795,35365,21099
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Friday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,73,47,34,23,22,19,79,151,381,706,1125,1715,2365,2604,2446,2459,2452,2524,2111,1715,1348,845,513,308
Bourke Street Mall (South),2,61,39,30,19,12,14,49,91,256,441,713,1061,1524,1636,1439,1405,1350,1282,976,758,636,400,307,207
Melbourne Central,3,337,200,124,90,74,69,130,190,435,601,872,1302,2024,2197,2139,2215,2301,2518,2568,2335,2206,2113,1702,1228
Town Hall (West),4,171,85,47,36,29,48,145,277,633,985,1457,2030,2729,2939,2818,2776,2716,2690,2392,2051,1823,1620,1334,937
Princes Bridge,5,144,68,37,33,32,65,197,464,953,954,1202,1545,1951,2051,2030,2092,2177,2613,2388,2072,1668,1814,1729,934
Flinders Street Station Underpass,6,219,80,40,30,50,144,431,794,1903,1214,1015,1197,1574,1659,1685,1912,2243,2914,2281,1777,1608,1601,1447,1026
Birrarung Marr,7,11,5,5,3,5,12,43,87,136,97,99,118,151,163,151,157,203,284,316,201,127,129,270,208
