Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
RMIT Building 14,61,128,78,59,64,51,14,37,99,209,319,533,618,765,804,766,638,770,813,884,692,534,396,340,225
La Trobe St (North),62,116,66,25,33,22,37,90,60,85,206,362,403,407,444,526,467,481,502,428,439,391,330,226,159
231 Bourke St,63,81,47,37,22,8,5,30,63,127,283,379,706,900,914,981,864,912,987,826,943,674,303,283,145
State Library- New,66,400,234,131,141,46,33,32,91,165,424,1018,1474,1975,2313,2474,2706,2754,2753,2402,2235,1827,1449,1085,702
Flinders Ln -Degraves St (South),67,141,68,43,30,18,9,108,128,287,641,935,1130,1103,1072,1021,1010,996,1004,860,830,580,505,574,297
Flinders Ln -Degraves St (North),68,64,21,6,1,2,7,18,69,182,503,739,902,678,604,756,811,657,633,515,508,423,219,206,106
Flinders Ln -Degraves St (Crossing),69,34,13,0,2,4,2,25,27,128,308,587,681,632,830,759,664,530,434,215,177,172,128,97,62
Errol Street (East),70,10,7,3,0,0,2,7,31,85,200,287,298,333,274,229,193,256,224,320,357,245,166,238,39
Westwood Place,71,19,1,16,6,6,3,9,3,10,9,11,17,18,6,17,22,15,13,13,6,3,1,12,5
Flinders St- ACMI,72,73,50,16,28,13,17,39,74,162,263,332,598,581,748,777,783,885,841,744,632,484,378,517,407
Spring St- Flinders St (West),75,9,3,0,4,2,2,17,29,50,46,71,98,108,108,100,130,105,136,158,101,70,23,59,18
Macaulay Rd-Bellair St,76,2,3,0,2,1,1,8,31,58,92,111,151,96,99,95,80,91,106,82,109,111,23,25,5
Harbour Esplanade (West) - Pedestrian Path,77,47,24,20,4,0,12,44,76,150,224,364,291,324,267,234,209,264,268,358,385,394,295,143,127
Harbour Esplanade (West) - Bike Path,78,5,10,4,1,2,6,10,56,62,118,152,155,138,122,130,132,102,109,83,96,63,34,29,27
Flinders St (South),79,331,194,111,94,66,46,104,141,248,551,735,1083,1157,1288,1231,1313,1300,1356,1228,1093,951,798,947,685
Elizabeth St - Flinders St (East) - New footpath,84,424,283,176,87,56,84,153,318,560,1152,1562,2020,2275,2531,2544,2688,2621,2569,2400,1941,1735,1453,1451,763
Macaulay Rd (North),85,11,5,1,0,0,1,7,25,105,128,201,247,187,181,218,180,122,112,110,137,73,32,32,20
Queensberry St - Errol St (South),86,3,1,1,4,1,1,4,23,52,83,102,119,106,66,83,95,63,75,108,69,69,52,47,12
Errol St (West),87,19,4,2,2,4,11,7,28,63,148,217,257,268,213,212,180,125,141,222,151,103,49,46,36
Flagstaff station (East),88,66,31,15,9,5,11,25,63,108,156,211,222,232,239,204,198,162,187,243,190,129,129,86,119
William St - Little Lonsdale St (West),89,108,59,35,25,13,18,59,88,145,239,241,275,276,226,259,297,266,225,224,261,255,236,192,132
La Trobe St - William St (South),90,59,38,30,23,5,10,24,51,95,105,140,156,157,127,196,187,142,164,177,170,169,146,140,134
114 Flinders St,91,111,75,22,37,18,9,43,39,124,192,346,399,365,483,488,573,558,626,647,566,438,261,725,421
Birrarung Marr East - Batman Ave Bridge Entry,92,3,3,0,0,0,1,3,26,31,36,60,102,107,158,191,214,140,201,335,178,114,12,37,2
474 Flinders St,141,178,130,91,82,40,27,37,49,85,219,324,336,384,409,363,375,341,339,332,227,287,265,364,292
Hamer Hall - River Side,142,9,0,3,0,0,0,90,299,465,707,904,1186,1320,1597,1503,1324,1466,1611,1927,2112,1144,87,48,21
Cnr Bourke St and Harbour Esplanade,137,0,1,0,0,0,1,2,5,11,15,31,33,38,43,41,19,33,43,33,54,10,8,3,11
Flinders Walk - Sandridge Bridge,139,22,18,4,5,9,0,15,22,31,71,83,77,132,147,139,172,177,160,157,113,128,53,71,65
Birrarung Marr - Federation Bridge,136,9,5,1,2,3,0,19,93,158,201,324,284,280,354,341,315,367,287,241,274,174,41,130,18
Boyd Park,140,0,0,0,0,0,0,17,55,92,176,233,167,192,210,146,137,141,186,213,134,116,0,1,0
I-Hub 892 Bourke Street,130,2,0,2,0,0,1,5,26,60,95,125,91,130,113,90,99,59,58,67,35,46,15,7,4
510 Elizabeth St,83,0,0,0,0,0,0,0,0,6,2,0,1,19,34,24,21,17,5,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,5,52,23,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,2,0,7,6,19,13,5,12,0,0,2,0,0,0,0,0
Batman Park,160,148,134,94,76,43,23,65,108,193,311,403,475,398,450,488,449,461,528,606,510,438,384,580,455
City Baths,161,6,0,0,0,0,0,0,12,97,155,173,181,178,122,95,96,130,109,29,4,2,0,0,0
Birrarung Marr – COM Pole 1109,0,0,1,0,0,0,1,35,128,212,287,630,774,876,1144,1414,1453,1498,1748,2375,1853,946,253,677,189
I-Hub Corner of King Street and Latrobe Street,132,98,53,22,28,15,13,36,65,96,218,290,266,253,215,266,259,236,257,227,262,248,204,222,199
I-Hub 489 Elizabeth Street,162,111,104,58,71,54,41,83,156,313,635,967,1391,1644,1685,1426,1291,927,602,564,526,394,324,228,193
I-Hub 526 La Trobe Street,164,40,23,6,16,14,16,29,97,135,168,340,321,270,194,179,220,153,257,337,339,230,141,116,181
475 Spencer Street,165,17,10,23,10,3,4,15,26,40,54,50,59,75,79,74,83,133,97,134,88,70,63,61,111
484 Spencer Street,166,5,4,0,2,5,1,6,15,43,82,80,114,104,124,87,74,88,88,140,155,45,11,7,3
Total,,13548,7715,4611,3863,2069,1949,4173,7332,14538,27555,42292,57124,64858,71438,71806,71133,70030,68789,65992,59663,47250,37727,39558,26999
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Saturday over the past 4 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,113,72,41,27,24,14,30,61,252,577,1217,2035,2502,2850,2931,2963,2799,2598,2166,1915,1229,757,477,273
Bourke Street Mall (South),2,113,80,44,32,17,15,17,49,111,380,779,1175,1433,1540,1588,1546,1398,1177,783,638,543,371,295,211
Melbourne Central,3,506,321,155,114,80,45,51,98,180,412,643,1027,1425,1818,1924,1990,2100,1926,1959,2173,1927,1645,1335,1023
Town Hall (West),4,493,308,151,93,55,50,86,166,404,974,1703,2568,3130,3264,3590,3451,3287,3060,2703,2382,2036,1750,1471,1020
Princes Bridge,5,419,221,82,71,31,54,116,178,470,941,1597,2163,2634,3057,3020,2970,3029,2565,2658,2536,2287,2042,1899,1213
Flinders Street Station Underpass,6,544,245,129,71,73,84,154,278,525,862,1230,1478,1679,1724,1942,1966,1969,2047,2035,1867,1778,1820,1558,1102
Webb Bridge,8,8,5,1,1,0,7,48,132,212,278,334,378,363,367,358,322,358,271,288,211,222,103,60,33
Southern Cross Station,9,25,12,11,11,5,7,27,55,81,89,121,126,140,143,118,114,154,134,124,103,107,90,78,43
Victoria Point,10,14,7,5,1,3,3,10,27,38,64,84,69,95,81,92,65,106,98,115,110,112,79,54,22
Waterfront City,11,28,14,3,2,1,8,25,49,80,85,92,98,82,88,109,71,85,104,126,204,371,294,171,75
New Quay,12,76,34,12,8,6,14,44,106,167,237,253,282,300,277,345,308,382,323,496,641,894,783,488,276
Sandridge Bridge,14,289,131,70,41,42,44,73,104,194,326,440,450,429,491,547,478,505,531,548,600,589,715,676,489
Collins Place (South),17,39,19,14,20,21,23,42,87,128,212,239,276,302,285,271,260,271,328,295,255,233,167,191,95
Collins Place (North),18,9,5,1,1,2,1,9,22,60,104,114,135,171,207,155,136,137,159,131,109,80,46,63,24
Chinatown-Swanston St (North),19,363,221,130,63,33,15,16,30,49,135,290,604,1082,1197,1151,1085,1185,1103,1276,1340,1270,1129,972,640
Chinatown-Lt Bourke St (South),20,334,166,102,96,43,15,17,40,53,117,267,341,504,653,550,460,471,614,882,989,885,748,773,499
Bourke St-Russell St (West),21,327,218,125,81,30,21,25,31,62,131,227,395,580,697,661,613,683,659,687,914,863,707,653,420
Flinders St-Elizabeth St (East),22,378,232,151,100,67,63,142,302,631,1161,1621,1817,2082,2235,2245,2281,2244,2198,2202,1944,1675,1668,1316,832
Spencer St-Collins St (South),23,60,34,19,18,14,21,34,77,135,229,285,305,268,250,254,282,284,293,307,292,245,257,184,145
Spencer St-Collins St (North),24,265,142,89,64,51,72,160,275,429,748,935,1076,1075,965,988,1072,1095,1110,992,782,734,729,646,509
Melbourne Convention Exhibition Centre,25,162,86,33,21,22,22,95,224,312,536,766,961,1070,1333,1345,1279,1206,887,1269,878,1066,1269,950,490
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,41,32,18,12,6,8,30,66,148,243,321,395,403,369,340,272,215,168,153,171,132,139,91,76
The Arts Centre,28,106,46,33,25,12,35,86,104,284,763,1256,1871,2246,2688,2469,2414,2436,1423,1254,1084,595,593,851,440
St Kilda Rd-Alexandra Gardens,29,104,69,33,15,9,19,64,173,271,391,586,665,785,874,901,837,680,657,871,736,719,571,477,503
Lonsdale St (South),30,504,363,245,184,112,77,71,66,89,163,291,425,573,641,638,637,681,692,853,892,834,816,846,694
Lygon St (West),31,146,50,13,15,9,8,15,35,69,108,176,215,268,293,371,326,321,359,524,715,840,948,854,483
Southbank,35,740,414,113,59,38,59,216,503,855,1378,1817,2034,2448,2549,2672,2707,2942,3009,3681,3538,3642,3400,2920,2167
Queen St (West),36,228,258,229,337,31,11,28,46,82,149,226,203,197,192,199,200,203,214,245,264,302,229,262,304
Lygon St (East),37,120,46,14,7,5,10,8,27,53,68,138,164,203,204,190,184,186,230,225,128,190,200,183,251
Alfred Place,39,0,1,0,0,0,0,5,22,49,100,96,73,87,69,58,72,91,94,95,88,40,7,3,4
Lonsdale St-Spring St (West),40,42,25,16,13,8,10,22,36,84,140,189,238,317,462,220,235,266,355,327,263,218,177,297,108
Grattan St-Swanston St (West),42,14,9,2,5,3,3,10,22,25,44,52,54,55,65,65,62,71,69,54,59,63,59,32,22
Monash Rd-Swanston St (West),43,9,4,1,2,1,2,9,22,33,64,148,71,98,116,86,77,72,66,67,49,52,36,16,11
Tin Alley-Swanston St (West),44,2,1,0,1,0,0,5,19,37,27,37,51,44,56,35,37,49,48,43,30,32,17,8,6
Little Collins St-Swanston St (East),45,296,207,125,62,39,32,50,114,183,424,693,991,1189,1477,1390,1333,1379,1241,1203,1217,1291,1263,981,581
Flinders La-Swanston St (West),41,594,432,253,151,105,134,213,337,653,1440,2073,2625,2957,3140,3168,3088,3074,2843,2629,2262,1968,1855,1747,1289
Pelham St (South),46,1,0,0,0,0,1,8,15,20,35,42,38,50,54,40,43,55,57,47,45,44,8,2,1
Melbourne Central-Elizabeth St (East),47,260,171,119,60,44,59,82,148,302,650,1004,1349,1566,1706,1704,1591,1540,1421,1362,1277,1144,839,657,503
QVM-Queen St (East),48,0,0,0,0,0,0,53,119,219,410,571,663,777,746,706,554,404,276,223,217,196,176,130,0
QVM-Therry St (South),49,109,92,70,53,52,58,68,128,272,507,748,901,987,922,853,759,482,286,305,321,307,258,209,165
Faraday St-Lygon St (West),50,41,13,12,15,13,24,19,24,56,173,275,401,443,420,453,437,442,436,506,607,570,537,304,150
QVM-Franklin St (North),51,41,25,25,12,12,15,23,43,77,141,227,289,312,288,251,209,217,143,154,172,146,120,88,75
Elizabeth St-Lonsdale St (South),52,274,179,91,58,28,15,21,37,92,189,332,426,496,639,649,630,583,600,625,667,588,518,516,397
Collins St (North),53,71,39,23,9,7,9,32,70,178,480,821,1185,1211,1291,1269,1257,1156,834,604,452,412,313,279,188
Lincoln-Swanston (West),54,38,25,10,9,9,6,15,33,40,68,85,84,100,111,132,117,124,118,122,115,134,121,86,64
Lonsdale St - Elizabeth St (North),56,186,145,95,87,66,46,40,59,123,276,393,489,581,648,648,634,625,673,742,733,670,627,472,297
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,228,133,90,49,40,45,109,186,355,505,754,851,849,798,776,776,904,812,769,641,657,536,470,357
RMIT Building 80,59,158,113,71,64,22,17,35,64,120,248,342,391,437,556,605,595,603,565,577,604,471,393,340,263
RMIT Building 14,61,101,64,53,37,17,17,39,73,147,323,410,500,521,566,556,537,529,517,520,504,452,341,279,185
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,74,47,34,23,14,20,51,44,65,128,217,279,320,350,374,347,307,334,319,325,324,264,195,130
231 Bourke St,63,108,78,50,22,9,7,21,59,106,243,377,566,700,763,761,729,727,809,759,835,727,381,211,156
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,303,188,110,60,38,24,50,86,185,433,869,1334,1813,2113,2260,2329,2386,2287,2076,2115,1818,1514,1097,685
Flinders Ln -Degraves St (South),67,124,54,30,15,11,18,79,107,286,602,811,803,803,847,952,877,821,773,758,854,729,582,503,289
Flinders Ln -Degraves St (North),68,46,8,2,5,2,3,28,92,192,402,423,476,429,508,674,635,572,447,440,471,424,233,191,114
Flinders Ln -Degraves St (Crossing),69,21,8,5,5,3,5,22,47,165,389,512,533,603,658,595,561,480,330,210,214,180,136,94,59
Errol Street (East),70,9,5,7,2,2,1,11,38,105,162,229,286,244,219,185,175,177,187,231,239,240,192,139,29
Westwood Place,71,13,7,5,6,1,2,4,5,5,11,7,11,10,11,12,6,11,21,11,10,8,7,4,11
Flinders St- ACMI,72,82,35,16,17,7,11,32,66,161,248,303,440,554,583,683,641,626,599,575,441,383,353,293,296
Bourke St - Spencer St (South),73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring St- Flinders St (West),75,7,6,1,1,1,4,12,28,45,89,131,103,99,90,80,85,93,139,190,78,79,30,32,43
Macaulay Rd-Bellair St,76,3,1,3,1,0,1,9,23,61,102,116,95,89,76,63,51,58,62,53,55,50,25,14,7
Harbour Esplanade (West) - Pedestrian Path,77,34,19,16,6,6,11,38,112,150,192,231,205,227,202,203,171,238,174,247,307,581,407,249,123
Harbour Esplanade (West) - Bike Path,78,8,6,3,3,1,3,19,51,75,93,118,110,103,96,85,81,92,64,88,66,60,27,25,16
Flinders St (South),79,307,188,95,71,48,40,91,134,291,567,906,1008,1030,1100,1083,1097,1009,1092,1119,886,793,802,750,655
Elizabeth St - Flinders St (East) - New footpath,84,378,232,151,100,67,63,142,302,631,1161,1621,1817,2082,2235,2245,2281,2244,2198,2202,1944,1675,1668,1316,832
Macaulay Rd (North),85,9,5,1,0,2,1,8,26,75,132,180,184,170,160,132,112,112,108,109,93,87,40,25,12
Queensberry St - Errol St (South),86,5,3,2,2,1,2,7,26,47,70,86,90,83,76,69,48,62,53,63,70,66,53,28,15
Errol St (West),87,14,9,2,2,5,11,9,28,69,140,181,208,201,182,156,122,117,118,169,136,122,76,48,43
Flagstaff station (East),88,51,21,23,11,7,16,25,55,75,142,187,190,209,184,193,186,173,162,153,192,193,156,119,110
William St - Little Lonsdale St (West),89,81,67,31,26,29,28,45,75,110,204,198,207,212,222,226,221,222,195,234,227,216,204,200,149
La Trobe St - William St (South),90,61,44,21,12,10,12,28,38,67,108,127,133,118,131,129,139,127,102,153,160,163,152,118,105
114 Flinders St,91,113,54,24,12,5,8,36,65,166,303,428,409,398,375,412,431,484,594,805,471,368,306,374,331
Birrarung Marr East - Batman Ave Bridge Entry,92,1,2,0,1,0,2,34,49,60,88,101,112,96,95,112,96,110,148,136,89,81,13,7,3
474 Flinders St,141,120,97,58,44,48,25,40,57,105,250,313,314,304,352,325,326,288,311,363,287,252,234,247,229
Hamer Hall - River Side,142,9,4,1,0,0,7,122,325,481,616,833,950,1092,1250,1109,951,1117,965,1357,1394,1267,227,45,20
Cnr Bourke St and Harbour Esplanade,137,5,3,2,1,0,0,3,7,11,24,29,26,31,23,23,22,39,30,36,47,46,12,5,4
Flinders Walk - Sandridge Bridge,139,23,9,6,2,2,3,11,30,37,77,92,98,94,94,114,90,90,115,109,116,137,96,78,62
Birrarung Marr - Federation Bridge,136,10,6,3,1,1,14,96,202,294,762,949,396,313,324,347,503,395,912,1089,276,184,67,134,170
Boyd Park,140,0,0,0,0,0,0,20,58,94,142,187,184,164,135,147,129,126,142,158,180,136,1,0,0
I-Hub 892 Bourke Street,130,1,0,0,0,0,0,3,17,84,56,85,93,86,79,65,88,42,39,48,60,59,21,8,6
510 Elizabeth St,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512 Elizabeth St,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514 Elizabeth St,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
516 Elizabeth St,159,0,0,0,0,0,0,0,0,0,0,4,8,3,4,3,3,0,0,0,0,0,0,0,0
Batman Park,160,198,126,81,56,32,33,77,111,192,370,394,441,389,417,401,406,427,394,529,472,540,498,471,394
City Baths,161,0,0,0,0,0,0,0,1,70,89,103,107,111,101,90,92,95,99,18,5,0,0,0,0
Birrarung Marr – COM Pole 1109,0,24,28,0,0,0,12,92,183,327,898,1617,1157,685,665,654,801,880,1567,2142,868,680,217,120,133
I-Hub Corner of King Street and Latrobe Street,132,102,67,42,20,16,15,36,71,114,186,248,239,232,235,241,216,215,187,242,255,230,224,194,161
I-Hub 489 Elizabeth Street,162,122,69,58,39,34,38,87,187,326,640,890,1294,1431,1415,1348,1134,759,481,504,532,454,334,250,184
I-Hub 526 La Trobe Street,164,53,15,8,8,8,11,42,91,129,220,248,256,233,253,260,211,259,237,245,224,243,177,139,84
475 Spencer Street,165,17,5,6,5,2,5,11,17,32,62,65,75,62,69,70,82,75,61,76,68,68,46,36,29
484 Spencer Street,166,4,4,3,2,0,1,6,15,57,99,94,113,102,94,112,75,64,76,108,106,37,22,14,12
Total,,11559,7049,4022,2858,1720,1775,4044,7910,15034,28605,41850,50751,57471,62249,62621,60882,60197,57003,58948,53902,49555,42063,35483,24719
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average Hourly Pedestrian Counts for Saturday over the past 52 weeks. ,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,153,93,55,39,23,18,32,78,262,610,1228,2067,2604,2989,3130,3199,3046,2628,2029,1639,1008,688,522,356
Bourke Street Mall (South),2,117,87,64,49,17,13,22,56,125,369,795,1297,1580,1740,1835,1854,1710,1378,913,667,522,406,320,239
Melbourne Central,3,741,474,289,209,110,79,72,108,226,447,800,1300,1878,2316,2467,2609,2627,2646,2580,2644,2470,2129,1723,1343
Town Hall (West),4,501,284,169,109,53,44,72,152,370,854,1483,2260,2823,3181,3309,3353,3209,2829,2364,2137,1820,1649,1394,1045
Princes Bridge,5,377,182,89,60,32,40,91,176,376,730,1258,1846,2436,2828,2584,2811,2938,2887,2586,2486,2008,2119,1921,1077
Flinders Street Station Underpass,6,577,287,150,98,79,90,156,295,523,847,1157,1487,1656,1809,1933,2080,2151,2195,2108,1893,1721,1705,1566,1125
Birrarung Marr,7,50,13,8,6,11,9,19,45,72,94,106,150,246,260,181,252,471,309,304,335,153,147,255,187
Webb Bridge,8,18,7,3,2,2,5,29,83,156,243,340,386,396,416,436,468,445,365,262,179,134,84,80,81
Southern Cross Station,9,32,18,14,9,7,12,40,50,127,137,179,173,260,234,175,178,230,215,184,161,104,92,91,124
Victoria Point,10,15,5,3,2,2,3,8,20,43,73,93,101,105,103,101,108,123,122,133,136,81,69,87,91
Waterfront City,11,14,5,2,1,0,2,9,31,51,64,88,116,126,133,148,147,160,160,143,146,148,111,71,42
New Quay,12,66,26,13,8,6,9,28,75,137,216,299,369,425,458,454,535,603,592,685,750,561,476,369,264
Sandridge Bridge,14,223,126,78,48,42,43,67,112,176,289,380,466,481,549,580,637,645,648,653,584,566,705,695,490
Collins Place (South),17,52,27,18,14,15,30,52,88,133,204,233,284,334,340,313,363,345,370,352,305,268,182,253,142
Collins Place (North),18,6,2,1,1,0,1,5,21,57,104,136,172,188,209,177,186,182,133,91,60,31,19,26,14
