Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,94,60,48,24,14,6,26,57,111,343,883,1248,1551,1731,1806,1619,1431,1342,1023,816,512,271,153,83
Bourke Street Mall (South),2,138,80,37,28,12,10,5,38,85,249,423,654,646,641,596,566,617,478,317,319,244,172,85,59
Melbourne Central,3,473,216,127,100,93,54,65,106,143,328,628,848,1117,1179,1166,1262,1227,1283,1353,1228,1032,902,479,286
Town Hall (West),4,415,174,87,43,53,40,84,130,342,668,1145,1471,1946,1976,2003,1965,1722,1654,1504,1223,1077,870,461,308
Princes Bridge,5,375,174,66,24,33,47,133,200,325,663,986,1608,1525,1623,1320,1358,1296,1120,1090,1005,1147,806,322,170
Flinders Street Station Underpass,6,458,212,83,62,46,94,159,221,396,580,759,994,1083,1071,1181,1110,1082,1096,1055,1075,993,815,550,322
Birrarung Marr,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webb Bridge,8,20,2,5,1,0,3,40,98,167,210,219,237,262,255,224,191,203,190,156,130,131,47,8,6
Southern Cross Station,9,27,14,12,18,9,9,27,50,70,93,72,74,83,94,78,75,77,72,77,70,80,75,32,20
Victoria Point,10,24,2,1,4,0,2,2,6,26,37,70,39,72,61,49,48,44,33,83,68,61,25,46,21
Waterfront City,11,24,8,1,4,2,6,13,44,59,69,46,62,52,38,20,21,32,70,148,169,260,165,84,25
New Quay,12,90,30,10,12,2,20,36,104,146,176,239,219,236,114,87,78,117,154,343,455,591,441,204,59
Sandridge Bridge,14,214,80,38,23,29,42,75,98,131,180,266,273,243,176,246,234,249,298,332,377,378,353,219,133
Collins Place (South),17,37,18,12,19,6,9,28,82,104,193,196,153,202,206,168,165,154,153,179,147,135,91,79,44
Collins Place (North),18,6,4,2,1,2,4,6,19,32,61,66,73,92,98,80,73,46,64,78,53,29,17,7,5
Chinatown-Swanston St (North),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinatown-Lt Bourke St (South),20,167,91,34,44,26,6,12,46,44,101,171,330,337,261,203,165,225,305,474,755,595,376,269,127
Bourke St-Russell St (West),21,275,184,97,35,24,12,16,40,46,101,177,346,442,477,518,425,410,471,500,626,654,377,280,161
Flinders St-Elizabeth St (East),22,384,140,85,63,42,41,101,232,453,826,1120,1293,1399,1445,1374,1355,1418,1512,1368,1215,1284,947,552,247
Spencer St-Collins St (South),23,47,18,7,24,5,22,36,48,107,151,210,176,172,155,138,135,141,152,164,166,135,135,72,38
Spencer St-Collins St (North),24,217,67,40,56,48,69,131,295,521,580,538,715,615,547,762,748,844,931,733,660,446,490,395,176
Melbourne Convention Exhibition Centre,25,320,115,65,14,22,26,95,167,278,476,655,794,822,786,736,778,744,685,890,411,614,525,230,78
QV Market-Elizabeth St (West),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QV Market-Peel St,27,44,26,5,17,12,12,17,18,58,81,119,134,133,110,110,84,91,78,78,90,69,79,44,23
The Arts Centre,28,117,44,22,16,28,35,87,77,202,487,848,1247,1438,1568,1290,1292,1022,798,371,307,224,281,104,50
St Kilda Rd-Alexandra Gardens,29,131,53,26,18,6,12,62,156,224,244,311,400,472,402,360,350,291,276,267,275,254,116,79,45
Lonsdale St (South),30,458,289,208,191,102,79,42,69,73,141,237,365,432,447,381,406,417,409,426,432,482,392,279,225
Lygon St (West),31,87,23,13,18,4,8,7,29,46,123,229,204,254,288,251,178,158,219,354,402,494,441,192,64
Southbank,35,771,286,129,53,30,73,243,350,726,956,1132,1432,1490,1621,1571,1473,1380,1478,1587,1785,1814,1364,780,350
Queen St (West),36,54,41,18,41,15,16,18,45,55,98,176,133,161,75,151,137,103,105,127,129,91,84,61,34
Lygon St (East),37,108,39,13,6,0,13,10,17,45,104,117,129,150,116,0,0,0,0,0,0,0,0,0,38
Alfred Place,39,1,1,0,0,0,1,5,15,36,87,99,90,79,70,59,97,65,57,43,65,12,5,0,0
Lonsdale St-Spring St (West),40,28,14,7,5,4,7,11,20,45,123,95,117,139,164,154,110,61,87,92,74,59,61,48,24
Grattan St-Swanston St (West),42,26,2,3,14,4,2,9,22,23,46,80,81,104,75,63,40,57,78,69,67,62,41,24,18
Monash Rd-Swanston St (West),43,2,4,1,3,0,0,9,20,22,43,67,52,57,51,56,48,42,54,67,73,48,26,16,11
Tin Alley-Swanston St (West),44,0,2,0,4,0,1,3,15,21,24,36,27,25,26,26,21,16,30,31,37,27,15,5,7
Little Collins St-Swanston St (East),45,269,125,47,28,34,40,39,96,128,301,419,613,815,729,709,695,620,634,649,615,593,462,266,161
Flinders La-Swanston St (West),41,586,295,182,76,71,108,163,294,477,759,1210,1533,1765,1906,1828,1847,1630,1572,1390,1194,1081,887,587,442
Pelham St (South),46,2,0,1,0,0,0,4,10,15,28,37,28,47,48,36,35,44,42,50,59,36,2,0,1
Melbourne Central-Elizabeth St (East),47,220,99,73,65,47,58,67,128,221,371,622,895,1026,1029,910,898,1097,953,997,786,635,493,327,187
QVM-Queen St (East),48,0,0,0,0,0,0,0,0,0,0,182,209,211,207,166,122,164,114,101,117,99,97,59,0
QVM-Therry St (South),49,122,79,36,46,54,37,40,68,161,187,400,344,355,321,262,184,222,194,319,260,267,225,152,122
Faraday St-Lygon St (West),50,17,9,1,5,1,13,9,32,60,153,269,352,431,379,339,304,361,302,400,336,307,226,77,28
QVM-Franklin St (North),51,51,32,33,11,13,7,15,24,46,117,149,153,151,181,139,126,120,110,114,116,113,90,52,40
Elizabeth St-Lonsdale St (South),52,99,62,29,24,15,21,17,29,36,122,249,335,377,418,368,418,409,477,423,397,386,243,124,102
Collins St (North),53,60,25,13,11,11,13,19,62,111,242,508,632,684,750,694,605,539,465,290,282,198,185,112,62
Lincoln-Swanston (West),54,50,24,7,19,8,7,10,30,30,56,76,81,117,98,82,73,97,113,138,119,111,92,50,22
Lonsdale St - Elizabeth St (North),56,145,42,30,23,15,10,25,38,96,213,409,407,532,481,500,464,362,404,457,390,423,422,177,103
Bourke St Bridge,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourke St - Spencer St (North),58,175,85,58,20,23,39,74,138,223,331,532,573,570,529,583,639,650,610,524,414,384,358,214,138
RMIT Building 80,59,108,64,47,37,14,13,23,39,75,181,245,244,325,274,338,356,326,275,365,341,339,223,139,98
RMIT Building 14,61,151,79,55,24,10,13,27,58,132,256,432,471,506,478,391,455,539,539,599,505,388,337,210,111
Elizabeth St-La Trobe St (East),55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Trobe St (North),62,123,49,32,21,11,17,40,28,60,106,137,161,225,336,288,301,321,300,384,335,313,227,153,62
231 Bourke St,63,97,47,29,21,13,4,20,43,58,189,305,410,422,423,423,343,324,363,419,380,266,42,29,28
Royal Pde - Grattan St,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swanston St - City Square,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Library- New,66,320,87,100,46,29,22,31,74,169,346,706,1116,1520,1615,1609,1622,1699,1750,1504,1285,1234,834,531,195
Flinders Ln -Degraves St (South),67,65,35,16,8,7,6,56,135,250,404,533,644,595,462,488,583,514,408,418,428,319,203,138,52
Flinders Ln -Degraves St (North),68,4,1,6,0,1,1,23,68,191,267,389,532,322,218,315,354,245,251,315,300,208,99,42,21
